日時,現地気圧(hPa),海面気圧(hPa),降水量(mm),気温(°C),露点温度(°C),蒸気圧(hPa),湿度(%),風速(m/s),風向,日照時間(h),全天日射量(MJ/㎡),降雪量(cm),積雪量(cm),天気,視程(km),スタジアム名,都道府県,屋内外
2025-03-01 1,1015.9,1022.5,--,10.0,7.8,10.6,86,2.1,北北東,,,--,--,曇,,Mazda Zoom-Zoom Stadium Hiroshima,Hiroshima,Outdoor
2025-03-01 2,1015.9,1022.5,--,10.0,6.9,9.9,81,2.4,北北東,,,--,--,曇,,Mazda Zoom-Zoom Stadium Hiroshima,Hiroshima,Outdoor
2025-03-01 3,1016.0,1022.6,--,9.6,5.8,9.2,77,2.6,北北東,,,--,--,曇,,Mazda Zoom-Zoom Stadium Hiroshima,Hiroshima,Outdoor
2025-03-01 4,1015.9,1022.5,--,9.2,5.4,9.0,77,3.5,北北東,,,--,--,曇,,Mazda Zoom-Zoom Stadium Hiroshima,Hiroshima,Outdoor
2025-03-01 5,1016.2,1022.8,--,8.7,4.7,8.5,76,3.1,北,,,--,--,曇,,Mazda Zoom-Zoom Stadium Hiroshima,Hiroshima,Outdoor
2025-03-01 6,1016.2,1022.9,--,8.3,4.0,8.1,74,6.0,北北東,,,--,--,曇,,Mazda Zoom-Zoom Stadium Hiroshima,Hiroshima,Outdoor
2025-03-01 7,1016.4,1023.1,--,8.0,3.9,8.0,75,5.6,北北東,0.0,0.01,--,--,晴れ,,Mazda Zoom-Zoom Stadium Hiroshima,Hiroshima,Outdoor
2025-03-01 8,1017.2,1023.9,--,8.4,4.1,8.2,74,4.9,北北東,0.0,0.13,--,--,曇,,Mazda Zoom-Zoom Stadium Hiroshima,Hiroshima,Outdoor
2025-03-01 9,1017.2,1023.8,--,8.8,4.0,8.2,72,2.9,北北東,0.0,0.37,--,--,曇,,Mazda Zoom-Zoom Stadium Hiroshima,Hiroshima,Outdoor
2025-03-01 10,1016.6,1023.2,--,9.5,4.7,8.5,72,2.6,北,0.0,0.51,--,--,曇,,Mazda Zoom-Zoom Stadium Hiroshima,Hiroshima,Outdoor
2025-03-01 11,1016.2,1022.8,--,10.5,6.1,9.4,74,1.4,北,0.0,0.86,--,--,曇,,Mazda Zoom-Zoom Stadium Hiroshima,Hiroshima,Outdoor
2025-03-01 12,1015.1,1021.6,--,12.5,7.0,10.0,69,1.7,南南東,0.2,1.53,--,--,晴れ,,Mazda Zoom-Zoom Stadium Hiroshima,Hiroshima,Outdoor
2025-03-01 13,1014.1,1020.6,--,13.5,7.1,10.1,65,3.8,南,0.9,2.63,--,--,晴れ,,Mazda Zoom-Zoom Stadium Hiroshima,Hiroshima,Outdoor
2025-03-01 14,1013.2,1019.7,--,15.1,7.7,10.5,61,1.6,南南西,1.0,2.64,--,--,晴れ,,Mazda Zoom-Zoom Stadium Hiroshima,Hiroshima,Outdoor
2025-03-01 15,1012.1,1018.5,--,15.7,8.0,10.7,60,2.7,南南西,1.0,2.17,--,--,晴れ,,Mazda Zoom-Zoom Stadium Hiroshima,Hiroshima,Outdoor
2025-03-01 16,1011.7,1018.1,--,16.1,7.9,10.6,58,2.5,南西,1.0,1.51,--,--,晴れ,,Mazda Zoom-Zoom Stadium Hiroshima,Hiroshima,Outdoor
