エリア,打率,気温(°C)
1,0.25,12.25
1,0.0,12.25
1,0.4,12.25
2,0.4,12.25
0,0.25,12.25
2,0.0,12.25
1,0.0,12.25
1,0.75,12.25
1,0.3333333333333333,12.25
1,0.5,12.25
1,0.6,12.225
1,0.2,12.225
1,0.0,12.225
2,0.25,12.225
0,0.0,12.225
2,0.25,12.225
1,0.0,12.225
1,0.3333333333333333,12.225
1,1.0,12.225
1,0.0,12.225
1,0.2,8.475000000000001
1,0.25,8.475000000000001
1,0.0,8.475000000000001
1,0.0,8.475000000000001
2,0.5,8.475000000000001
0,0.0,8.475000000000001
2,0.3333333333333333,8.475000000000001
1,0.0,8.475000000000001
1,1.0,8.475000000000001
1,0.0,8.475000000000001
1,0.0,8.475000000000001
1,0.0,8.475000000000001
0,1.0,8.475000000000001
1,0.25,12.325
1,0.2,12.325
1,0.0,12.325
2,0.5,12.325
2,0.0,12.325
1,0.0,12.325
0,0.6666666666666666,12.325
1,0.0,12.325
1,0.5,12.325
1,0.5,12.325
1,0.5,8.5
1,0.2,8.5
1,0.0,8.5
2,0.5,8.5
2,0.0,8.5
0,0.0,8.5
1,0.5,8.5
1,0.5,8.5
1,0.0,8.5
1,0.0,8.5
0,0.0,8.5
1,0.0,13.166666666666666
1,0.0,13.166666666666666
1,0.25,13.166666666666666
2,0.25,13.166666666666666
2,0.25,13.166666666666666
1,0.3333333333333333,13.166666666666666
0,0.0,13.166666666666666
0,0.0,13.166666666666666
1,0.0,13.166666666666666
1,0.0,13.166666666666666
1,0.0,13.166666666666666
1,0.5,15.033333333333333
0,0.0,15.033333333333333
1,0.0,15.033333333333333
2,0.0,15.033333333333333
2,0.25,15.033333333333333
0,0.0,15.033333333333333
1,0.5,15.033333333333333
1,0.0,15.033333333333333
1,0.0,15.033333333333333
1,0.0,16.033333333333335
1,0.25,16.033333333333335
1,0.0,16.033333333333335
2,0.0,16.033333333333335
2,0.0,16.033333333333335
1,0.0,16.033333333333335
1,0.6666666666666666,16.033333333333335
0,0.0,16.033333333333335
1,0.0,16.033333333333335
1,1.0,16.125
1,0.5,16.125
1,0.2,16.125
2,0.8,16.125
0,0.0,16.125
2,0.0,16.125
1,0.0,16.125
1,0.2,16.125
1,0.0,16.125
1,0.0,16.125
1,0.5,16.125
0,1.0,16.125
1,0.0,16.125
1,0.0,16.950000000000003
1,1.0,16.950000000000003
1,0.0,16.950000000000003
1,0.0,16.950000000000003
2,0.25,16.950000000000003
2,0.0,16.950000000000003
1,0.0,16.950000000000003
1,0.0,16.950000000000003
0,0.0,16.950000000000003
1,0.5,16.950000000000003
1,0.0,16.950000000000003
1,0.0,15.925
1,0.5,15.925
2,0.25,15.925
2,0.25,15.925
1,0.25,15.925
1,0.25,15.925
1,0.0,15.925
0,0.0,15.925
1,0.0,15.925
1,0.0,15.925
1,0.0,17.099999999999998
1,0.25,17.099999999999998
2,0.3333333333333333,17.099999999999998
2,0.0,17.099999999999998
1,0.25,17.099999999999998
1,0.25,17.099999999999998
1,0.5,17.099999999999998
1,0.0,17.099999999999998
1,0.25,17.099999999999998
1,0.25,15.175
1,0.5,15.175
2,0.0,15.175
2,0.25,15.175
1,0.0,15.175
1,0.0,15.175
1,0.0,15.175
1,0.5,15.175
1,0.0,15.175
1,0.5,15.175
1,0.25,18.675
1,0.5,18.675
2,0.0,18.675
2,0.0,18.675
0,1.0,18.675
1,0.0,18.675
1,0.25,18.675
1,0.0,18.675
0,0.3333333333333333,18.675
1,0.0,18.675
1,0.3333333333333333,18.675
1,0.0,18.675
1,0.0,16.866666666666664
0,0.0,16.866666666666664
1,0.25,16.866666666666664
1,0.0,16.866666666666664
2,0.25,16.866666666666664
2,0.0,16.866666666666664
1,0.3333333333333333,16.866666666666664
1,0.25,16.866666666666664
1,0.3333333333333333,16.866666666666664
1,1.0,16.866666666666664
1,0.0,16.866666666666664
1,0.5,16.866666666666664
1,0.0,19.2
