エリア,打率,気温(°C)
1,0.25,20.9
0,0.25,20.9
1,0.25,20.9
2,0.3333333333333333,20.9
1,0.6666666666666666,20.9
0,0.0,20.9
1,0.0,20.9
1,0.6666666666666666,20.9
1,0.0,20.9
0,1.0,20.9
1,0.25,5.65
0,0.0,5.65
1,0.25,5.65
2,0.0,5.65
1,0.0,5.65
0,0.0,5.65
1,0.0,5.65
1,0.0,5.65
1,0.0,5.65
2,0.0,5.65
1,0.0,5.65
0,0.0,5.65
1,0.75,12.299999999999999
0,0.25,12.299999999999999
1,0.0,12.299999999999999
1,0.0,12.299999999999999
1,0.0,12.299999999999999
1,0.3333333333333333,12.299999999999999
0,0.0,12.299999999999999
1,0.0,12.299999999999999
1,0.0,12.299999999999999
0,0.0,12.299999999999999
0,0.0,12.299999999999999
1,0.2,12.55
0,0.4,12.55
0,0.6,12.55
1,0.0,12.55
1,0.5,12.55
1,0.0,12.55
1,0.25,12.55
1,0.3333333333333333,12.55
1,0.0,12.55
2,0.0,12.55
1,1.0,12.55
1,0.1666666666666666,13.26
0,0.1666666666666666,13.26
0,0.3333333333333333,13.26
2,0.2,13.26
1,0.6,13.26
1,0.6,13.26
1,0.0,13.26
1,0.5,13.26
1,0.0,13.26
1,0.0,13.26
1,1.0,13.26
1,0.0,13.26
1,0.0,13.26
1,0.0,13.26
0,1.0,13.26
0,0.0,13.26
1,0.5,12.033333333333333
0,0.25,12.033333333333333
0,0.0,12.033333333333333
2,0.3333333333333333,12.033333333333333
1,0.25,12.033333333333333
1,0.0,12.033333333333333
1,0.25,12.033333333333333
1,0.3333333333333333,12.033333333333333
2,0.0,12.033333333333333
1,0.0,12.033333333333333
1,0.0,12.033333333333333
1,0.25,12.85
0,0.5,12.85
0,0.25,12.85
2,0.0,12.85
1,0.0,12.85
0,0.3333333333333333,12.85
1,0.0,12.85
1,0.0,12.85
1,0.0,12.85
1,0.0,12.85
1,0.0,12.85
1,0.3333333333333333,16.275
0,0.0,16.275
1,0.6,16.275
2,0.5,16.275
1,0.25,16.275
1,0.0,16.275
0,0.2,16.275
1,0.25,16.275
1,0.0,16.275
1,0.3333333333333333,16.275
1,0.0,16.275
1,0.0,16.275
1,0.0,16.275
0,0.0,16.275
1,0.0,19.125
0,0.4,19.125
0,0.3333333333333333,19.125
1,0.25,19.125
1,0.6666666666666666,19.125
1,0.25,19.125
0,0.5,19.125
1,0.25,19.125
1,0.0,19.125
1,0.0,19.125
0,0.0,19.125
1,0.0,19.125
1,0.0,17.04
0,0.4,17.04
1,0.2,17.04
1,0.1666666666666666,17.04
1,0.2,17.04
1,0.75,17.04
0,0.2,17.04
1,0.25,17.04
2,0.0,17.04
1,0.0,17.04
0,0.0,17.04
1,0.25,15.275
0,0.5,15.275
0,0.25,15.275
1,0.25,15.275
1,0.0,15.275
1,0.0,15.275
1,0.0,15.275
1,0.0,15.275
1,0.0,15.275
0,0.0,15.275
1,1.0,15.275
1,0.4,18.099999999999998
0,0.6666666666666666,18.099999999999998
1,0.5,18.099999999999998
1,0.3333333333333333,18.099999999999998
1,0.0,18.099999999999998
1,0.0,18.099999999999998
1,0.0,18.099999999999998
1,0.25,18.099999999999998
2,1.0,18.099999999999998
1,0.25,15.933333333333332
0,0.0,15.933333333333332
1,0.3333333333333333,15.933333333333332
1,0.0,15.933333333333332
1,0.5,15.933333333333332
1,0.0,15.933333333333332
1,0.3333333333333333,15.933333333333332
1,0.0,15.933333333333332
0,0.0,15.933333333333332
0,0.0,15.933333333333332
2,0.0,15.933333333333332
1,1.0,15.933333333333332
1,0.25,17.1
0,0.0,17.1
1,0.25,17.1
1,0.25,17.1
1,0.6666666666666666,17.1
1,0.3333333333333333,17.1
0,0.0,17.1
1,0.0,17.1
1,0.0,17.1
2,0.0,17.1
1,0.0,17.1
1,0.5,20.2
0,0.4,20.2
1,0.4,20.2
0,0.6,20.2
1,0.0,20.2
0,1.0,20.2
1,0.4,20.2
1,0.25,20.2
1,0.0,20.2
1,0.5,20.2
1,0.0,20.2
1,0.25,28.5
1,0.25,28.5
1,0.25,28.5
0,0.25,28.5
1,0.0,28.5
1,0.3333333333333333,28.5
1,0.0,28.5
1,0.3333333333333333,28.5
