エリア,打率,気温(°C)
1,0.75,12.15
0,0.0,12.15
1,0.25,12.15
1,0.3333333333333333,12.15
1,0.25,12.15
1,0.25,12.15
1,0.3333333333333333,12.15
0,0.0,12.15
1,0.0,12.15
1,0.25,12.525
0,0.0,12.525
1,0.0,12.525
1,0.5,12.525
1,0.25,12.525
1,0.5,12.525
1,0.5,12.525
0,0.3333333333333333,12.525
2,0.0,12.525
0,0.0,12.525
1,0.0,12.525
1,0.0,8.725
0,0.0,8.725
1,0.0,8.725
1,0.0,8.725
1,0.0,8.725
1,0.0,8.725
1,0.3333333333333333,8.725
0,0.3333333333333333,8.725
1,0.0,8.725
1,0.0,8.725
1,0.25,12.55
0,0.5,12.55
1,0.0,12.55
1,0.25,12.55
1,0.0,12.55
1,0.0,12.55
0,0.0,12.55
0,0.3333333333333333,12.55
1,0.0,12.55
1,0.0,12.55
1,0.0,12.55
1,0.0,12.55
1,0.0,13.26
0,0.0,13.26
1,0.3333333333333333,13.26
1,0.8,13.26
1,0.4,13.26
1,0.0,13.26
0,0.3333333333333333,13.26
1,0.0,13.26
1,0.2,13.26
2,0.0,13.26
1,0.0,13.26
1,0.0,13.26
1,0.5,12.033333333333333
0,0.5,12.033333333333333
1,0.5,12.033333333333333
1,0.0,12.033333333333333
1,0.0,12.033333333333333
1,0.0,12.033333333333333
1,0.0,12.033333333333333
1,1.0,12.033333333333333
1,0.0,12.033333333333333
2,0.0,12.033333333333333
1,0.0,12.033333333333333
0,0.0,12.033333333333333
1,0.4,12.05
0,0.4,12.05
1,0.25,12.05
1,0.25,12.05
1,0.25,12.05
1,0.25,12.05
0,0.75,12.05
1,0.5,12.05
1,0.0,12.05
0,0.0,12.05
1,0.0,12.05
1,0.2,15.666666666666666
0,0.0,15.666666666666666
1,0.5,15.666666666666666
1,0.25,15.666666666666666
1,0.25,15.666666666666666
1,0.5,15.666666666666666
1,0.0,15.666666666666666
0,0.0,15.666666666666666
1,0.25,15.666666666666666
1,0.0,15.666666666666666
1,0.25,16.333333333333332
0,0.0,16.333333333333332
1,0.0,16.333333333333332
1,0.0,16.333333333333332
1,0.25,16.333333333333332
1,0.0,16.333333333333332
0,0.0,16.333333333333332
1,0.0,16.333333333333332
1,0.0,16.333333333333332
0,0.0,16.333333333333332
1,0.0,16.333333333333332
1,0.25,11.475
0,0.2,11.475
1,0.6,11.475
1,0.25,11.475
1,0.3333333333333333,11.475
1,0.25,11.475
1,0.5,11.475
0,0.0,11.475
1,0.0,11.475
1,0.0,11.475
1,0.8,19.96
0,0.25,19.96
1,0.6666666666666666,19.96
1,0.4,19.96
1,0.0,19.96
1,0.3333333333333333,19.96
1,0.0,19.96
1,0.2,19.96
0,0.0,19.96
2,0.5,19.96
1,0.0,19.96
1,0.0,19.96
1,0.4,18.775
0,0.4,18.775
1,0.25,18.775
1,0.6666666666666666,18.775
1,0.3333333333333333,18.775
1,0.25,18.775
1,0.0,18.775
1,0.3333333333333333,18.775
1,0.0,18.775
1,0.0,18.775
1,0.3333333333333333,17.619999999999997
0,0.5,17.619999999999997
1,0.2,17.619999999999997
1,0.0,17.619999999999997
1,0.4,17.619999999999997
1,0.25,17.619999999999997
1,0.5,17.619999999999997
1,0.0,17.619999999999997
0,0.0,17.619999999999997
1,0.0,17.619999999999997
1,0.8,18.619999999999997
0,0.5,18.619999999999997
1,0.3333333333333333,18.619999999999997
1,0.0,18.619999999999997
1,0.3333333333333333,18.619999999999997
1,0.25,18.619999999999997
1,0.0,18.619999999999997
1,0.0,18.619999999999997
1,0.0,18.619999999999997
1,0.0,18.619999999999997
0,0.0,18.619999999999997
1,0.0,17.433333333333334
0,0.3333333333333333,17.433333333333334
1,0.25,17.433333333333334
1,0.25,17.433333333333334
1,0.5,17.433333333333334
1,0.25,17.433333333333334
1,0.25,17.433333333333334
1,0.0,17.433333333333334
1,0.0,17.433333333333334
0,0.0,17.433333333333334
1,0.2,19.78
0,0.25,19.78
1,0.4,19.78
1,0.5,19.78
1,0.0,19.78
1,0.5,19.78
1,0.0,19.78
1,0.0,19.78
1,0.0,19.78
1,1.0,19.78
1,0.0,19.78
0,0.0,19.78
0,0.0,19.78
1,0.0,19.525
0,0.0,19.525
1,0.0,19.525
1,0.4,19.525
1,0.0,19.525
1,0.0,19.525
1,0.5,19.525
1,0.5,19.525
1,0.5,19.525
1,1.0,19.525
1,0.0,19.525
1,0.0,18.533333333333335
0,0.6666666666666666,18.533333333333335
1,0.8,18.533333333333335
1,0.4,18.533333333333335
1,0.4,18.533333333333335
1,0.2,18.533333333333335
1,0.0,18.533333333333335
1,0.0,18.533333333333335
1,0.5,18.533333333333335
1,0.0,18.533333333333335
1,0.0,18.533333333333335
1,0.6,13.875
0,0.0,13.875
1,0.4,13.875
1,0.2,13.875
1,0.2,13.875
1,0.2,13.875
1,0.5,13.875
1,0.0,13.875
1,0.5,13.875
1,0.0,13.875
0,1.0,13.875
1,0.25,18.225
0,1.0,18.225
1,0.5,18.225
1,0.0,18.225
1,0.25,18.225
1,0.0,18.225
1,0.0,18.225
0,0.0,18.225
1,0.0,18.225
0,0.0,18.225
1,0.0,18.225
1,0.0,18.225
1,0.0,16.64
0,0.75,16.64
1,0.0,16.64
1,0.2,16.64
1,0.0,16.64
0,0.3333333333333333,16.64
1,0.3333333333333333,16.64
1,0.0,16.64
1,0.0,16.64
1,0.0,16.64
1,0.0,16.64
1,0.0,16.64
1,0.0,16.64
1,0.0,16.64
1,0.25,20.475
0,0.25,20.475
1,0.0,20.475
1,0.0,20.475
1,0.0,20.475
