エリア,打率,気温(°C)
1,0.0,12.15
1,0.3333333333333333,12.15
1,0.25,12.15
2,0.0,12.15
1,0.25,12.15
2,0.0,12.15
1,0.3333333333333333,12.15
1,0.0,12.15
1,0.0,12.15
1,0.0,12.15
1,0.0,12.15
1,0.6,12.525
1,0.0,12.525
1,0.6666666666666666,12.525
2,0.0,12.525
1,0.5,12.525
2,0.0,12.525
1,0.0,12.525
1,0.3333333333333333,12.525
1,0.0,12.525
1,0.5,12.525
1,0.0,12.525
1,0.0,12.525
1,0.0,8.725
1,0.5,8.725
1,0.6666666666666666,8.725
2,0.25,8.725
1,1.0,8.725
1,1.0,8.725
2,0.25,8.725
1,0.0,8.725
1,0.25,8.725
1,0.5,8.725
1,0.25,10.75
1,1.0,10.75
1,0.0,10.75
1,0.25,10.75
1,0.25,10.75
1,0.4,10.75
1,0.0,10.75
2,0.3333333333333333,10.75
1,0.0,10.75
1,0.0,10.75
1,0.0,10.75
1,0.0,8.233333333333333
1,0.0,8.233333333333333
1,0.0,8.233333333333333
1,0.0,8.233333333333333
1,0.0,8.233333333333333
1,0.0,8.233333333333333
2,0.3333333333333333,8.233333333333333
1,0.0,8.233333333333333
1,0.3333333333333333,8.233333333333333
0,0.0,8.233333333333333
1,0.0,8.233333333333333
1,0.0,8.233333333333333
1,0.25,12.85
1,0.5,12.85
1,0.5,12.85
1,0.25,12.85
1,0.25,12.85
2,0.5,12.85
1,0.4,12.85
1,0.0,12.85
1,0.3333333333333333,12.85
1,0.0,16.275
1,0.0,16.275
1,0.25,16.275
1,0.3333333333333333,16.275
1,0.0,16.275
2,0.25,16.275
1,0.0,16.275
1,0.4,16.275
1,0.4,16.275
1,0.0,16.275
1,1.0,16.275
1,1.0,16.275
1,0.0,16.275
1,0.0,16.275
1,0.5,19.125
1,0.25,19.125
1,0.5,19.125
1,0.25,19.125
1,0.0,19.125
1,0.6666666666666666,19.125
2,0.5,19.125
1,0.5,19.125
1,0.0,19.125
1,0.0,19.125
1,0.0,19.125
1,1.0,19.125
1,0.0,16.5
1,0.5,16.5
1,0.2,16.5
1,0.0,16.5
1,0.2,16.5
2,0.0,16.5
1,0.2,16.5
1,0.0,16.5
2,0.0,16.5
1,0.0,16.5
1,0.25,17.366666666666667
1,0.0,17.366666666666667
1,0.6666666666666666,17.366666666666667
1,0.0,17.366666666666667
1,0.25,17.366666666666667
2,0.3333333333333333,17.366666666666667
1,0.5,17.366666666666667
1,0.0,17.366666666666667
1,0.0,17.366666666666667
1,0.0,17.366666666666667
1,0.0,17.366666666666667
1,0.0,17.366666666666667
1,0.0,15.975
1,1.0,15.975
1,0.2,15.975
1,0.2,15.975
1,0.25,15.975
2,0.0,15.975
1,0.25,15.975
1,0.25,15.975
1,0.5,15.975
0,0.0,15.975
1,0.0,15.975
1,0.6666666666666666,18.025
1,0.2,18.025
1,0.4,18.025
1,0.5,18.025
1,0.5,18.025
1,0.0,18.025
2,0.5,18.025
1,1.0,18.025
1,0.3333333333333333,18.025
1,0.0,18.025
1,0.0,18.025
1,1.0,18.025
1,0.0,18.025
1,0.5,18.025
1,0.0,18.025
1,0.5,17.766666666666666
1,0.0,17.766666666666666
1,0.75,17.766666666666666
1,0.25,17.766666666666666
1,0.0,17.766666666666666
2,0.25,17.766666666666666
1,0.3333333333333333,17.766666666666666
1,0.3333333333333333,17.766666666666666
1,0.0,17.766666666666666
1,0.25,17.475
1,0.5,17.475
1,0.75,17.475
1,0.5,17.475
2,0.6666666666666666,17.475
1,0.0,17.475
1,0.0,17.475
1,0.0,17.475
1,0.0,17.475
1,0.5,17.475
1,0.0,17.475
1,0.2,10.625
1,0.5,10.625
1,0.5,10.625
1,0.75,10.625
2,0.25,10.625
1,0.6666666666666666,10.625
1,0.0,10.625
1,0.25,10.625
2,0.0,10.625
1,0.0,10.625
1,0.0,10.625
1,0.25,17.4
1,0.25,17.4
1,0.0,17.4
1,0.25,17.4
2,0.0,17.4
1,0.0,17.4
1,0.0,17.4
1,0.5,17.4
1,1.0,17.4
1,0.0,17.4
1,0.0,17.4
1,0.75,17.525
1,0.25,17.525
1,0.6666666666666666,17.525
1,0.5,17.525
2,0.6,17.525
1,0.25,17.525
1,0.0,17.525
1,0.0,17.525
1,0.0,17.525
1,1.0,17.525
1,0.0,19.5
1,0.0,19.5
1,0.0,19.5
1,0.0,19.5
1,0.3333333333333333,19.5
2,0.25,19.5
1,0.0,19.5
1,0.5,19.5
1,0.0,19.5
1,0.0,19.5
1,0.25,17.2
1,0.3333333333333333,17.2
1,0.0,17.2
1,0.0,17.2
1,0.0,17.2
2,0.5,17.2
1,0.3333333333333333,17.2
1,0.0,17.2
1,1.0,17.2
1,0.0,17.2
1,1.0,17.2
1,1.0,17.2
1,0.0,21.333333333333332
1,0.0,21.333333333333332
1,0.25,21.333333333333332
1,0.0,21.333333333333332
2,0.0,21.333333333333332
1,0.0,21.333333333333332
1,0.0,21.333333333333332
1,0.0,21.333333333333332
1,0.0,21.333333333333332
0,0.0,21.333333333333332
1,1.0,21.333333333333332
1,0.0,21.075
1,0.2,21.075
1,0.2,21.075
1,0.4,21.075
2,0.0,21.075
1,0.0,21.075
1,0.2,21.075
1,0.3333333333333333,21.075
1,0.5,21.075
1,0.0,21.075
1,0.0,21.075
1,0.0,21.075
1,0.0,21.075
1,0.0,18.133333333333336
1,0.3333333333333333,18.133333333333336
1,0.0,18.133333333333336
1,0.0,18.133333333333336
1,0.25,18.133333333333336
2,0.5,18.133333333333336
1,0.3333333333333333,18.133333333333336
1,0.0,18.133333333333336
1,0.0,18.133333333333336
1,0.0,18.133333333333336
1,0.0,18.133333333333336
1,0.1666666666666666,18.52
1,0.1666666666666666,18.52
1,0.6666666666666666,18.52
1,0.5,18.52
1,0.4,18.52
