エリア,打率,気温(°C)
1,0.0,4.575
1,0.25,4.575
2,0.0,4.575
1,0.5,4.575
2,0.0,4.575
0,0.0,4.575
1,0.0,4.575
0,0.0,4.575
1,0.0,4.575
1,0.25,4.05
1,0.0,4.05
2,0.25,4.05
1,0.5,4.05
1,0.0,4.05
1,0.0,4.05
1,0.0,4.05
1,1.0,4.05
1,0.0,4.05
0,0.5,4.05
1,0.0,4.05
1,0.0,4.05
1,0.25,4.966666666666666
1,0.25,4.966666666666666
1,0.25,4.966666666666666
1,0.0,4.966666666666666
0,0.0,4.966666666666666
2,0.25,4.966666666666666
1,0.25,4.966666666666666
1,0.3333333333333333,4.966666666666666
0,0.0,4.966666666666666
1,0.5,4.966666666666666
1,0.0,4.966666666666666
1,0.25,10.424999999999999
0,0.3333333333333333,10.424999999999999
1,0.0,10.424999999999999
1,0.25,10.424999999999999
1,0.5,10.424999999999999
1,0.0,10.424999999999999
2,0.0,10.424999999999999
1,0.0,10.424999999999999
1,0.0,10.424999999999999
1,0.3333333333333333,10.424999999999999
1,0.25,12.3
1,0.4,12.3
1,0.25,12.3
1,0.0,12.3
1,0.25,12.3
1,0.0,12.3
2,0.0,12.3
1,0.0,12.3
1,0.25,12.3
1,0.3333333333333333,12.3
1,0.25,12.3
1,0.0,11.866666666666667
1,0.5,11.866666666666667
2,0.5,11.866666666666667
1,0.25,11.866666666666667
0,0.0,11.866666666666667
1,0.0,11.866666666666667
1,0.25,11.866666666666667
1,0.5,11.866666666666667
0,0.25,11.866666666666667
1,0.0,11.866666666666667
1,0.5,11.325
1,0.5,11.325
2,0.6,11.325
1,0.4,11.325
1,0.0,11.325
1,1.0,11.325
1,0.3333333333333333,11.325
2,0.0,11.325
1,0.25,11.325
1,0.2,11.325
1,0.25,11.325
1,0.8,11.325
1,0.5,12.8
1,0.0,12.8
2,0.5,12.8
0,1.0,12.8
1,0.0,12.8
1,0.0,12.8
1,0.3333333333333333,12.8
1,0.0,12.8
