エリア,打率,気温(°C)
1,0.0,19.275
1,0.5,19.275
1,0.0,19.275
2,0.0,19.275
1,0.5,19.275
1,1.0,19.275
1,0.5,19.275
1,0.3333333333333333,19.275
1,0.25,19.275
1,0.3333333333333333,19.275
1,0.5,19.916666666666668
1,0.2,19.916666666666668
1,0.5,19.916666666666668
1,1.0,19.916666666666668
1,0.0,19.916666666666668
1,1.0,19.916666666666668
2,0.2,19.916666666666668
1,0.25,19.916666666666668
1,0.3333333333333333,19.916666666666668
1,0.6,19.916666666666668
1,0.0,19.916666666666668
1,0.0,19.916666666666668
1,0.25,26.22
1,0.0,26.22
1,0.0,26.22
1,0.0,26.22
1,0.0,26.22
1,0.3333333333333333,26.22
1,0.0,26.22
2,0.4,26.22
1,0.2,26.22
1,0.2,26.22
1,0.5,26.22
1,1.0,26.22
