エリア,打率,気温(°C)
1,0.0,5.8
1,0.5,5.8
2,0.0,5.8
2,0.0,5.8
1,0.25,5.8
0,0.0,5.8
0,0.0,5.8
1,0.0,5.8
1,0.0,5.8
1,0.0,5.8
1,0.2,12.075
1,0.0,12.075
2,0.0,12.075
2,0.2,12.075
1,1.0,12.075
1,0.25,12.075
1,0.0,12.075
0,0.5,12.075
1,0.0,12.075
1,0.3333333333333333,12.075
0,0.0,12.075
1,0.5,12.075
1,0.25,18.05
1,0.25,18.05
2,0.3333333333333333,18.05
2,0.0,18.05
1,0.4,18.05
1,0.0,18.05
0,0.0,18.05
0,0.5,18.05
1,0.3333333333333333,18.05
1,0.3333333333333333,18.05
1,0.0,17.25
0,0.0,17.25
1,0.75,17.25
2,0.25,17.25
2,0.5,17.25
1,0.0,17.25
1,0.0,17.25
1,0.0,17.25
0,0.5,17.25
1,0.5,17.25
0,0.5,17.25
1,0.0,17.25
1,0.0,17.25
1,0.2,10.75
1,0.0,10.75
2,0.0,10.75
1,0.2,10.75
1,0.0,10.75
1,0.0,10.75
0,0.2,10.75
1,0.0,10.75
1,0.0,10.75
2,0.0,10.75
0,0.0,10.75
1,0.0,15.65
1,0.2,15.65
1,1.0,15.65
0,0.3333333333333333,15.65
2,0.0,15.65
0,0.5,15.65
2,0.3333333333333333,15.65
1,0.0,15.65
1,0.0,15.65
1,0.0,15.65
1,0.0,15.65
1,0.75,15.65
1,0.25,15.075
1,0.5,15.075
1,0.0,15.075
1,0.0,15.075
2,0.4,15.075
0,0.2,15.075
2,0.6,15.075
0,0.25,15.075
1,0.6666666666666666,15.075
0,1.0,15.075
1,0.3333333333333333,15.075
1,0.25,11.566666666666668
1,0.0,11.566666666666668
0,0.0,11.566666666666668
2,0.25,11.566666666666668
0,0.0,11.566666666666668
2,0.0,11.566666666666668
1,0.0,11.566666666666668
1,0.0,11.566666666666668
1,0.3333333333333333,11.566666666666668
1,0.3333333333333333,11.566666666666668
1,0.4,15.65
1,0.4,15.65
2,0.4,15.65
1,0.6,15.65
0,0.25,15.65
1,0.4,15.65
1,0.6666666666666666,15.65
1,0.5,15.65
1,0.0,15.65
2,0.0,15.65
1,0.25,19.85
1,0.2,19.85
2,0.4,19.85
1,0.25,19.85
0,0.6666666666666666,19.85
1,0.0,19.85
0,0.3333333333333333,19.85
0,1.0,19.85
1,0.0,19.85
1,0.4,19.85
0,0.4,19.85
1,0.3333333333333333,19.85
1,0.0,19.2
0,0.0,19.2
1,0.0,19.2
2,0.3333333333333333,19.2
2,0.0,19.2
0,0.0,19.2
1,0.0,19.2
1,0.0,19.2
1,0.0,19.2
1,0.0,19.2
1,0.0,19.2
1,0.0,19.2
1,0.0,19.2
1,0.0,19.2
0,0.5,19.2
1,0.25,18.833333333333332
1,0.0,18.833333333333332
2,0.25,18.833333333333332
1,0.25,18.833333333333332
0,0.25,18.833333333333332
1,0.25,18.833333333333332
1,0.0,18.833333333333332
0,0.0,18.833333333333332
1,1.0,18.833333333333332
1,0.0,18.833333333333332
0,0.0,18.833333333333332
1,0.5,17.125
1,0.25,17.125
1,0.5,17.125
2,0.3333333333333333,17.125
0,0.25,17.125
0,0.0,17.125
1,0.0,17.125
1,0.0,17.125
1,0.0,17.125
0,0.0,17.125
1,0.25,14.433333333333332
1,0.0,14.433333333333332
1,0.25,14.433333333333332
2,0.0,14.433333333333332
1,0.3333333333333333,14.433333333333332
0,0.25,14.433333333333332
1,0.3333333333333333,14.433333333333332
1,0.0,14.433333333333332
0,0.0,14.433333333333332
0,0.0,14.433333333333332
1,0.0,22.733333333333334
0,0.5,22.733333333333334
1,0.0,22.733333333333334
2,0.25,22.733333333333334
1,0.6666666666666666,22.733333333333334
0,0.0,22.733333333333334
1,0.6666666666666666,22.733333333333334
1,0.0,22.733333333333334
1,0.0,22.733333333333334
1,0.0,22.733333333333334
1,0.5,21.733333333333334
0,0.2,21.733333333333334
1,0.4,21.733333333333334
2,0.5,21.733333333333334
0,0.25,21.733333333333334
1,0.2,21.733333333333334
1,0.0,21.733333333333334
1,0.0,21.733333333333334
1,0.0,21.733333333333334
0,0.25,21.733333333333334
1,0.0,23.599999999999998
0,0.0,23.599999999999998
1,0.0,23.599999999999998
2,0.0,23.599999999999998
1,0.3333333333333333,23.599999999999998
1,0.3333333333333333,23.599999999999998
0,0.0,23.599999999999998
