エリア,打率,気温(°C)
1,0.2,19.8
1,0.2,19.8
1,0.0,19.8
2,0.5,19.8
2,0.0,19.8
0,0.25,19.8
1,0.3333333333333333,19.8
0,0.25,19.8
0,0.0,19.8
1,1.0,19.8
1,0.0,19.8
1,0.0,5.033333333333334
1,0.0,5.033333333333334
1,0.3333333333333333,5.033333333333334
1,0.0,5.033333333333334
1,0.0,5.033333333333334
2,0.0,5.033333333333334
2,0.0,5.033333333333334
0,0.3333333333333333,5.033333333333334
1,0.0,5.033333333333334
0,0.0,5.033333333333334
1,0.5,5.033333333333334
1,0.0,5.033333333333334
1,0.0,5.033333333333334
0,0.5,13.774999999999999
1,0.0,13.774999999999999
2,0.0,13.774999999999999
2,0.25,13.774999999999999
1,0.25,13.774999999999999
1,0.0,13.774999999999999
1,0.0,13.774999999999999
1,0.5,13.774999999999999
1,0.3333333333333333,13.774999999999999
1,0.0,13.774999999999999
1,1.0,13.774999999999999
0,0.0,13.774999999999999
1,0.0,13.774999999999999
0,0.4,10.75
1,0.0,10.75
2,0.25,10.75
2,0.6,10.75
1,0.3333333333333333,10.75
1,0.0,10.75
1,0.0,10.75
1,0.0,10.75
1,0.0,10.75
1,1.0,10.75
1,0.6666666666666666,10.75
1,0.0,10.75
1,0.0,10.75
0,0.25,8.233333333333333
1,0.5,8.233333333333333
2,0.25,8.233333333333333
2,0.25,8.233333333333333
1,0.25,8.233333333333333
1,0.0,8.233333333333333
1,0.0,8.233333333333333
1,0.0,8.233333333333333
0,0.0,8.233333333333333
1,0.5,8.233333333333333
0,0.2,11.72
1,0.0,11.72
1,0.2,11.72
2,0.3333333333333333,11.72
1,0.0,11.72
2,0.0,11.72
1,0.25,11.72
1,0.0,11.72
1,0.0,11.72
1,0.0,11.72
1,0.0,11.72
1,0.0,11.72
1,0.0,11.72
1,0.0,11.72
0,0.25,15.666666666666666
1,0.0,15.666666666666666
2,0.0,15.666666666666666
2,0.75,15.666666666666666
1,0.25,15.666666666666666
1,0.0,15.666666666666666
0,0.0,15.666666666666666
1,0.0,15.666666666666666
2,0.0,15.666666666666666
0,0.0,16.5
1,0.5,16.5
2,0.25,16.5
2,0.0,16.5
1,0.3333333333333333,16.5
1,0.6666666666666666,16.5
1,0.25,16.5
1,0.25,16.5
0,1.0,16.5
1,0.0,16.5
1,0.0,16.5
0,0.0,18.099999999999998
1,0.0,18.099999999999998
2,0.25,18.099999999999998
2,0.5,18.099999999999998
1,0.0,18.099999999999998
1,0.6666666666666666,18.099999999999998
1,0.25,18.099999999999998
0,0.0,18.099999999999998
1,0.0,18.099999999999998
2,0.0,18.099999999999998
1,0.0,18.099999999999998
1,1.0,18.099999999999998
1,0.25,11.475
1,0.25,11.475
2,0.3333333333333333,11.475
2,0.0,11.475
1,0.3333333333333333,11.475
1,0.0,11.475
1,0.0,11.475
0,0.0,11.475
1,0.0,11.475
0,0.0,11.475
1,0.0,11.475
1,0.0,11.475
1,0.6,19.96
1,0.2,19.96
2,0.2,19.96
1,0.25,19.96
0,0.0,19.96
2,0.25,19.96
1,0.0,19.96
1,0.2,19.96
1,0.3333333333333333,19.96
1,0.0,19.96
1,0.0,19.96
1,0.0,19.96
1,0.0,19.96
0,0.0,19.96
1,0.0,20.225
1,0.0,20.225
1,0.3333333333333333,20.225
2,0.3333333333333333,20.225
2,0.3333333333333333,20.225
1,0.25,20.225
1,0.0,20.225
0,0.0,20.225
1,0.0,20.225
0,0.6666666666666666,20.225
1,1.0,20.225
1,0.0,20.225
1,0.5,20.225
0,0.0,19.875
1,1.0,19.875
2,0.25,19.875
1,0.0,19.875
1,0.0,19.875
2,0.5,19.875
1,0.3333333333333333,19.875
1,0.75,19.875
1,0.25,19.875
1,1.0,19.875
0,0.0,19.875
1,1.0,19.875
1,0.0,19.875
0,0.0,19.875
1,0.0,20.4
2,0.6666666666666666,20.4
1,0.4,20.4
2,0.25,20.4
1,0.0,20.4
1,0.0,20.4
1,0.5,20.4
1,1.0,20.4
0,0.25,20.4
2,0.0,20.4
1,0.0,20.4
1,0.0,20.4
1,0.5,20.4
1,0.0,20.4
1,0.75,17.525
2,0.5,17.525
1,0.0,17.525
1,0.0,17.525
2,0.0,17.525
1,0.0,17.525
1,0.25,17.525
0,0.25,17.525
0,0.0,17.525
1,0.0,17.525
0,0.0,17.525
1,0.0,17.525
1,0.0,17.525
1,0.2,14.725
2,0.25,14.725
1,1.0,14.725
1,0.25,14.725
2,0.6,14.725
1,0.25,14.725
1,0.5,14.725
1,0.0,14.725
1,0.4,14.725
0,0.8,14.725
1,0.0,14.725
0,0.5,14.725
0,0.25,20.900000000000002
2,0.5,20.900000000000002
0,0.5,20.900000000000002
2,0.25,20.900000000000002
1,0.0,20.900000000000002
1,0.0,20.900000000000002
1,0.0,20.900000000000002
1,0.0,20.900000000000002
1,0.6666666666666666,20.900000000000002
1,0.0,20.900000000000002
1,0.0,20.900000000000002
0,0.0,20.900000000000002
1,0.0,20.900000000000002
1,0.0,24.175
2,0.5,24.175
1,1.0,24.175
1,0.6666666666666666,24.175
2,0.2,24.175
0,0.25,24.175
1,0.3333333333333333,24.175
0,0.0,24.175
1,0.0,24.175
1,0.25,24.175
1,0.25,21.18
2,0.0,21.18
1,0.25,21.18
2,0.25,21.18
0,0.0,21.18
1,0.0,21.18
0,0.0,21.18
1,0.5,21.18
1,0.0,21.18
1,1.0,21.18
1,0.6666666666666666,21.18
1,0.25,17.825
2,0.3333333333333333,17.825
1,0.5,17.825
2,0.0,17.825
0,0.0,17.825
1,0.6666666666666666,17.825
1,0.25,17.825
1,0.0,17.825
1,0.0,17.825
1,0.3333333333333333,17.825
1,0.2,18.725
2,0.3333333333333333,18.725
1,0.0,18.725
2,0.3333333333333333,18.725
0,0.0,18.725
1,0.25,18.725
1,0.0,18.725
1,0.0,18.725
1,0.0,18.725
1,0.0,18.725
1,0.25,18.725
1,0.3333333333333333,18.25
1,0.0,18.25
0,0.25,18.25
2,0.25,18.25
1,0.0,18.25
2,0.0,18.25
0,0.0,18.25
0,0.0,18.25
1,0.0,18.25
1,0.0,18.25
1,0.0,18.25
0,0.0,18.25
1,0.0,18.225
1,1.0,18.225
1,0.0,18.225
0,0.2,18.225
2,0.4,18.225
1,0.0,18.225
2,0.0,18.225
1,0.0,18.225
1,0.25,18.225
1,0.6666666666666666,18.225
1,0.0,18.225
1,0.0,18.225
0,0.0,18.225
1,0.3333333333333333,18.099999999999998
1,0.0,18.099999999999998
2,0.3333333333333333,18.099999999999998
1,0.5,18.099999999999998
0,0.25,18.099999999999998
2,1.0,18.099999999999998
1,0.0,18.099999999999998
0,0.0,18.099999999999998
1,0.0,18.099999999999998
1,0.0,18.099999999999998
1,0.0,18.099999999999998
1,0.4,21.325
0,0.0,21.325
2,0.0,21.325
1,0.0,21.325
0,0.2,21.325
2,0.5,21.325
1,0.0,21.325
1,0.25,21.325
1,0.5,21.325
0,1.0,21.325
2,0.0,21.325
1,0.0,21.325
1,1.0,21.325
1,0.25,21.066666666666666
2,0.3333333333333333,21.066666666666666
1,0.5,21.066666666666666
0,0.0,21.066666666666666
2,0.3333333333333333,21.066666666666666
1,0.3333333333333333,21.066666666666666
1,0.0,21.066666666666666
0,0.3333333333333333,21.066666666666666
1,0.0,21.066666666666666
1,0.0,22.233333333333334
0,0.3333333333333333,22.233333333333334
1,0.0,22.233333333333334
1,0.0,22.233333333333334
2,0.5,22.233333333333334
2,0.0,22.233333333333334
0,0.3333333333333333,22.233333333333334
1,0.0,22.233333333333334
1,0.0,22.233333333333334
1,0.5,22.233333333333334
1,0.0,22.233333333333334
2,0.0,22.233333333333334
1,0.0,22.233333333333334
1,0.0,21.25
1,0.0,21.25
2,0.4,21.25
2,0.0,21.25
0,0.5,21.25
0,0.3333333333333333,21.25
1,0.5,21.25
1,0.0,21.25
1,0.0,21.25
1,0.0,21.25
1,0.0,23.325
2,0.6,23.325
1,0.5,23.325
2,0.6666666666666666,23.325
0,0.5,23.325
0,0.25,23.325
1,0.0,23.325
0,0.25,23.325
1,0.0,23.325
1,0.0,23.325
1,1.0,23.325
1,0.2,23.55
2,0.3333333333333333,23.55
1,0.0,23.55
2,0.0,23.55
0,0.3333333333333333,23.55
0,0.5,23.55
1,0.75,23.55
0,0.0,23.55
1,0.0,23.55
0,0.0,23.55
0,0.0,23.55
1,0.0,23.55
1,0.4,26.675
0,1.0,26.675
2,0.0,26.675
1,0.0,26.675
2,0.25,26.675
1,0.0,26.675
1,0.0,26.675
1,0.25,26.675
0,0.0,26.675
1,0.0,26.675
2,0.0,26.675
1,0.0,26.675
0,0.0,26.675
1,0.5,21.7
0,0.0,21.7
2,0.0,21.7
1,0.0,21.7
1,0.3333333333333333,21.7
0,0.0,21.7
2,0.25,21.7
1,0.0,21.7
1,0.0,21.7
1,0.25,21.7
0,0.4,21.7
1,0.0,21.7
1,0.0,21.7
1,0.0,21.7
1,0.0,18.666666666666668
0,0.25,18.666666666666668
2,0.0,18.666666666666668
1,0.5,18.666666666666668
2,0.25,18.666666666666668
1,0.25,18.666666666666668
1,0.3333333333333333,18.666666666666668
1,0.3333333333333333,18.666666666666668
1,0.0,18.666666666666668
1,0.0,18.666666666666668
0,0.0,18.666666666666668
1,0.0,17.099999999999998
1,0.0,17.099999999999998
0,0.0,17.099999999999998
