日付,時刻,降水量(mm),気温(°C),露点温度(°C),蒸気圧(hPa),湿度(%),風速(m/s),風向,日照時間(h),全天日射量(MJ/㎡),天気,視程(km)
2025328,01:00,0.0,15.8,14.9,16.9,94,3.1,西,0.0,0.0,雨,5.50
2025328,02:00,2.0,14.2,13.7,15.7,97,5.8,北北西,0.0,0.0,雨,1.57
2025328,03:00,0.0,13.7,13.4,15.4,98,4.3,北北西,0.0,0.0,雨,3.29
2025328,04:00,0.5,13.3,12.7,14.7,96,2.9,北北西,0.0,0.0,雨,3.63
2025328,05:00,0.0,13.3,12.0,14.1,92,3.2,北西,0.0,0.0,曇,9.05
2025328,06:00,0.0,13.6,11.3,13.4,86,2.2,北西,0.0,0.00,曇,11.0
2025328,07:00,0.0,13.5,11.6,13.6,88,3.0,北西,0.0,0.02,雨,9.87
2025328,08:00,1.0,12.8,11.7,13.7,93,3.4,北北西,0.0,0.06,雨,4.76
2025328,09:00,0.0,13.4,11.6,13.7,89,2.8,西北西,0.0,0.28,曇,11.7
2025328,10:00,0.5,13.3,11.4,13.4,88,2.6,西北西,0.0,0.24,雨,8.24
2025328,11:00,0.5,12.0,9.9,12.2,87,4.1,西南西,0.0,0.26,雨,10.5
2025328,12:00,0.0,11.7,8.9,11.4,83,2.1,西北西,0.0,0.62,曇,11.8
2025328,13:00,0.0,11.7,7.0,10.0,73,3.3,西,0.0,0.73,曇,12.7
2025328,14:00,0.0,12.5,5.9,9.3,64,5.7,西北西,0.0,1.13,曇,15.9
2025328,15:00,0.0,13.5,5.7,9.1,59,5.0,西北西,0.8,2.23,曇,15.9
2025328,16:00,0.0,12.4,6.2,9.5,66,4.2,西南西,0.3,1.15,曇,13.4
2025328,17:00,0.0,12.5,6.6,9.7,67,3.1,西北西,0.0,0.41,曇,13.4
2025328,18:00,0.0,12.3,8.4,11.0,77,3.2,北,0.0,0.06,曇,16.9
2025328,19:00,0.0,12.4,6.7,9.8,68,6.3,北,0.0,0.01,曇,20.0
2025328,20:00,0.0,12.2,6.5,9.7,68,5.2,北,0.0,0.00,曇,20.0
2025328,21:00,0.0,12.1,6.6,9.7,69,6.3,北,0.0,0.0,曇,20.0
2025328,22:00,0.0,11.6,7.5,10.4,76,6.7,北,0.0,0.0,曇,20.0
