日付,時刻,降水量(mm),気温(°C),露点温度(°C),蒸気圧(hPa),湿度(%),風速(m/s),風向,日照時間(h),全天日射量(MJ/㎡),天気,視程(km)
202543,01:00,0.0,6.3,5.1,8.8,92,1.0,北北東,0.0,0.0,晴れ,20.0
202543,02:00,0.0,6.1,5.1,8.8,93,0.7,東,0.0,0.0,晴れ,20.0
202543,03:00,0.0,6.2,4.5,8.4,89,2.8,北北東,0.0,0.0,雨,11.1
202543,04:00,0.0,5.7,5.1,8.8,96,2.0,北東,0.0,0.0,雨,3.46
202543,05:00,0.0,5.6,5.3,8.9,98,1.2,北北東,0.0,0.00,曇,20.0
202543,06:00,0.0,5.9,4.7,8.5,92,1.7,北北東,0.0,0.02,雨,20.0
202543,07:00,0.0,5.9,4.4,8.4,90,2.6,北北東,0.0,0.08,雨,20.0
202543,08:00,0.0,6.0,4.8,8.6,92,1.6,北東,0.0,0.27,曇,20.0
202543,09:00,0.0,5.8,4.8,8.6,93,1.1,南東,0.0,0.23,雨,5.51
202543,10:00,0.5,5.6,4.4,8.4,92,2.3,南東,0.0,0.31,雨,6.10
202543,11:00,0.0,6.5,4.7,8.5,88,3.8,南東,0.0,0.42,雨,20.0
202543,12:00,0.0,5.9,4.1,8.2,88,3.6,南東,0.0,0.42,雨,13.2
202543,13:00,1.0,5.9,4.6,8.5,91,4.2,南東,0.0,0.41,雨,15.5
202543,14:00,0.5,5.8,4.6,8.5,92,3.6,南東,0.0,0.48,雨,20.0
202543,15:00,0.0,5.7,4.2,8.2,90,3.5,南東,0.0,0.27,雨,20.0
202543,16:00,0.0,5.8,4.3,8.3,90,3.4,南,0.0,0.23,曇,20.0
202543,17:00,0.0,5.8,3.8,8.0,87,3.7,南,0.0,0.15,曇,20.0
202543,18:00,0.0,5.8,4.1,8.2,89,2.8,南南東,0.0,0.04,曇,20.0
202543,19:00,0.0,5.7,4.0,8.2,89,3.1,南,0.0,0.00,晴れ,20.0
202543,20:00,0.0,5.7,3.7,8.0,87,1.8,南,0.0,0.0,雨,20.0
202543,21:00,0.0,5.6,4.3,8.3,91,1.6,南,0.0,0.0,曇,20.0
202543,22:00,0.0,5.7,4.4,8.3,91,2.5,南,0.0,0.0,曇,20.0
202543,23:00,0.0,5.8,4.5,8.4,91,0.9,南西,0.0,0.0,晴れ,18.4
202543,24:00,0.0,5.8,4.5,8.4,91,1.4,北北東,0.0,0.0,雨,19.6
202544,01:00,0.0,9.6,3.4,7.8,65,2.3,北東,0.0,0.0,晴れ,20.0
202544,02:00,0.0,8.4,3.9,8.0,73,2.1,南西,0.0,0.0,晴れ,20.0
202544,03:00,0.0,8.2,3.5,7.8,72,1.6,西南西,0.0,0.0,晴れ,20.0
202544,04:00,0.0,7.4,3.5,7.8,76,0.4,南南東,0.0,0.0,晴れ,20.0
202544,05:00,0.0,6.9,3.5,7.9,79,0.1,静穏,0.0,0.0,晴れ,20.0
202544,06:00,0.0,7.0,3.6,7.9,79,1.1,南南西,0.0,0.00,晴れ,20.0
202544,07:00,0.0,7.9,3.6,7.9,74,1.1,南,0.5,0.18,晴れ,20.0
202544,08:00,0.0,10.0,4.2,8.2,67,0.8,南南東,1.0,0.85,晴れ,20.0
202544,09:00,0.0,11.6,4.1,8.2,60,3.5,北,1.0,1.65,晴れ,20.0
202544,10:00,0.0,13.2,4.9,8.6,57,3.2,北,1.0,2.32,晴れ,20.0
