日付,時刻,降水量(mm),気温(°C),露点温度(°C),蒸気圧(hPa),湿度(%),風速(m/s),風向,日照時間(h),全天日射量(MJ/㎡),天気,視程(km)
2025328,01:00,0.0,19.6,16.6,18.9,83,5.4,南,0.0,0.0,,
2025328,02:00,0.0,19.3,16.9,19.3,86,5.8,南南西,0.0,0.0,,
2025328,03:00,0.0,19.3,16.9,19.3,86,6.7,南,0.0,0.0,曇,15.0
2025328,04:00,0.0,19.3,16.7,19.0,85,7.6,南,0.0,0.0,,
2025328,05:00,0.0,19.1,16.7,19.0,86,5.9,南,0.0,0.0,,
2025328,06:00,0.0,19.0,16.6,18.9,86,5.8,南,0.0,0.00,雨,15.0
2025328,07:00,0.0,18.4,17.4,19.9,94,5.0,南,0.0,0.03,,
2025328,08:00,2.0,18.1,17.6,20.1,97,3.7,南南東,0.0,0.07,,
2025328,09:00,0.5,18.8,18.3,21.1,97,1.7,南東,0.0,0.32,曇,15.0
2025328,10:00,0.0,20.2,18.7,21.5,91,1.4,北東,0.3,1.42,,
2025328,11:00,0.0,22.3,17.9,20.5,76,2.0,南南西,0.8,2.64,,
2025328,12:00,0.0,24.5,17.7,20.3,66,1.2,南南東,0.6,2.56,晴れ,25.0
2025328,13:00,0.0,24.9,17.6,20.2,64,2.1,西,0.7,2.22,,
2025328,14:00,0.0,23.3,17.5,20.0,70,4.5,南,0.0,1.55,,
2025328,15:00,0.0,23.5,17.7,20.3,70,5.1,南南東,0.4,1.55,薄曇,30.0
2025328,16:00,0.0,22.9,17.4,19.8,71,2.4,南南東,0.6,1.20,,
2025328,17:00,0.0,21.5,17.1,19.5,76,3.6,南南東,0.5,0.67,,
2025328,18:00,0.0,20.8,17.0,19.4,79,0.8,南西,0.2,0.18,薄曇,15.0
2025328,19:00,0.0,21.4,10.6,12.7,50,6.2,北西,0.0,0.00,,
2025328,20:00,0.0,19.6,12.9,14.8,65,3.5,北北西,0.0,0.0,,
2025328,21:00,0.0,17.4,12.1,14.1,71,6.3,北東,0.0,0.0,曇,20.0
2025328,22:00,0.0,16.4,11.6,13.6,73,5.8,北東,0.0,0.0,,
2025328,23:00,0.0,15.0,11.0,13.1,77,3.3,北東,0.0,0.0,,
2025328,24:00,0.0,14.1,11.8,13.8,86,1.9,東北東,0.0,0.0,,
2025329,01:00,0.0,13.4,10.9,13.1,85,4.2,東,0.0,0.0,,
2025329,02:00,0.0,13.1,10.6,12.8,85,2.8,北東,0.0,0.0,,
2025329,03:00,0.0,12.5,10.2,12.5,86,3.2,北東,0.0,0.0,雨,20.0
