matchID,名前,打数,安打,打率,打点
2025328,周東,5,2,0.4,0
2025328,近藤,4,0,0.0,0
2025328,柳田,4,1,0.25,0
2025328,山川,4,1,0.25,1
2025328,正木,4,1,0.25,0
2025328,今宮,3,1,0.3333333333333333,1
2025328,川瀬,0,0,0,0
2025328,ダウンズ,3,0,0.0,0
2025328,渡邉,0,0,0,0
2025328,リチャード,4,0,0.0,0
2025328,谷川原,1,0,0.0,0
2025328,牧原大,1,1,1.0,0
2025329,周東,5,1,0.2,0
2025329,近藤,4,3,0.75,1
2025329,柳田,4,1,0.25,3
2025329,山川,4,0,0.0,0
2025329,正木,4,1,0.25,0
2025329,今宮,4,1,0.25,0
2025329,ダウンズ,3,0,0.0,0
2025329,リチャード,4,0,0.0,0
2025329,海野,3,2,0.6666666666666666,0
2025329,中村,1,0,0.0,0
2025330,周東,5,2,0.4,0
2025330,近藤,4,1,0.25,0
2025330,渡邉,0,0,0,0
2025330,柳田,5,2,0.4,0
2025330,山川,5,0,0.0,0
2025330,正木,3,2,0.6666666666666666,3
2025330,今宮,3,0,0.0,0
2025330,牧原大,4,1,0.25,1
2025330,リチャード,4,1,0.25,0
2025330,谷川原,0,0,0,0
2025330,海野,3,0,0.0,0
2025330,ダウンズ,1,0,0.0,0
202541,周東,4,1,0.25,1
202541,中村,5,2,0.4,1
202541,柳田,4,2,0.5,2
202541,川村,0,0,0,0
202541,山川,4,1,0.25,0
202541,正木,4,1,0.25,0
202541,緒方,0,0,0,0
202541,今宮,4,1,0.25,1
202541,牧原大,4,0,0.0,0
202541,リチャード,4,1,0.25,0
202541,海野,4,1,0.25,0
202542,周東,5,2,0.4,0
202542,中村,2,1,0.5,0
202542,野村,0,0,0,0
202542,柳田,4,0,0.0,0
202542,山川,4,0,0.0,0
202542,正木,3,1,0.3333333333333333,0
202542,今宮,3,1,0.3333333333333333,1
202542,ダウンズ,4,2,0.5,0
202542,リチャード,4,0,0.0,0
202542,谷川原,2,0,0.0,0
202542,牧原大,1,0,0.0,0
202544,周東,5,1,0.2,0
202544,川瀬,3,1,0.3333333333333333,0
202544,ダウンズ,1,0,0.0,0
202544,柳田,3,1,0.3333333333333333,0
202544,山川,4,0,0.0,0
202544,正木,2,0,0.0,0
202544,中村,4,2,0.5,0
202544,緒方,0,0,0,0
202544,牧原大,4,1,0.25,0
202544,リチャード,2,0,0.0,0
202544,今宮,2,1,0.5,0
202544,谷川原,2,0,0.0,0
202544,渡邉,1,0,0.0,0
202544,柳町,1,0,0.0,0
202545,周東,4,2,0.5,2
202545,川村,0,0,0,0
202545,ダウンズ,4,0,0.0,0
202545,柳田,4,1,0.25,0
202545,山川,4,0,0.0,0
202545,正木,4,1,0.25,1
202545,今宮,4,2,0.5,0
202545,柳町,4,1,0.25,0
202545,海野,2,0,0.0,0
202545,廣瀨隆,2,0,0.0,0
202546,周東,4,1,0.25,0
202546,川村,0,0,0,0
202546,中村,2,0,0.0,0
202546,ダウンズ,1,0,0.0,0
202546,柳田,3,2,0.6666666666666666,1
202546,緒方,2,1,0.5,2
202546,山川,4,3,0.75,5
202546,川瀬,0,0,0,0
202546,正木,3,1,0.3333333333333333,2
202546,今宮,4,3,0.75,1
202546,野村,0,0,0,0
202546,廣瀨隆,4,0,0.0,0
202546,海野,4,0,0.0,0
202546,牧原大,4,1,0.25,0
202548,周東,4,1,0.25,1
202548,川瀬,4,2,0.5,0
202548,中村,4,0,0.0,0
202548,山川,3,2,0.6666666666666666,0
202548,緒方,0,0,0,0
202548,正木,4,1,0.25,1
202548,野村,0,0,0,0
202548,今宮,4,1,0.25,0
202548,柳町,3,1,0.3333333333333333,0
202548,佐藤直,0,0,0,0
202548,海野,3,1,0.3333333333333333,1
202548,牧原大,4,1,0.25,1
202549,周東,5,2,0.4,1
202549,佐藤直,4,1,0.25,0
202549,中村,4,2,0.5,0
202549,緒方,0,0,0,0
202549,山川,5,3,0.6,4
202549,正木,5,2,0.4,1
202549,今宮,4,0,0.0,0
202549,ダウンズ,5,3,0.6,1
202549,川瀬,0,0,0,0
202549,海野,3,0,0.0,0
202549,柳田,0,0,0,0
202549,渡邉,1,1,1.0,2
202549,廣瀨隆,2,1,0.5,1
202549,柳町,1,0,0.0,0
202549,野村,1,0,0.0,0
2025410,周東,4,1,0.25,0
2025410,廣瀨隆,4,2,0.5,0
2025410,野村,1,1,1.0,0
2025410,柳田,1,0,0.0,0
2025410,川瀬,0,0,0,0
2025410,中村,4,0,0.0,0
2025410,山川,5,1,0.2,0
2025410,ダウンズ,0,0,0,0
2025410,正木,5,0,0.0,0
2025410,緒方,0,0,0,0
2025410,今宮,4,1,0.25,0
2025410,柳町,2,0,0.0,0
2025410,佐藤直,2,0,0.0,0
2025410,渡邉,5,2,0.4,0
2025410,牧原大,4,0,0.0,1
2025411,周東,5,1,0.2,0
2025411,川瀬,3,0,0.0,0
2025411,今宮,2,1,0.5,1
2025411,柳田,3,0,0.0,0
2025411,中村,2,0,0.0,0
2025411,山川,4,3,0.75,2
2025411,正木,3,1,0.3333333333333333,0
2025411,柳町,3,0,0.0,0
2025411,佐藤直,1,0,0.0,0
2025411,廣瀨隆,3,0,0.0,1
2025411,海野,2,0,0.0,0
2025411,ダウンズ,1,0,0.0,0
2025411,野村,1,1,1.0,1
2025411,牧原大,2,0,0.0,0
2025411,嶺井,2,1,0.5,0
2025412,周東,5,2,0.4,2
2025412,佐藤直,6,3,0.5,2
2025412,ダウンズ,3,1,0.3333333333333333,0
2025412,山川,4,1,0.25,0
2025412,山本,0,0,0,0
2025412,正木,3,0,0.0,0
2025412,緒方,2,1,0.5,0
2025412,今宮,5,0,0.0,0
2025412,川瀬,0,0,0,0
2025412,廣瀨隆,5,3,0.6,2
2025412,海野,5,1,0.2,0
2025412,牧原大,5,3,0.6,1
2025415,周東,5,1,0.2,0
2025415,佐藤直,4,1,0.25,0
2025415,中村,4,0,0.0,0
2025415,山川,3,0,0.0,0
2025415,正木,3,1,0.3333333333333333,0
2025415,緒方,1,0,0.0,0
2025415,今宮,3,0,0.0,0
2025415,廣瀨隆,2,1,0.5,1
2025415,野村,0,0,0,0
2025415,海野,3,0,0.0,0
2025415,柳町,1,0,0.0,0
2025415,嶺井,0,0,0,0
2025415,牧原大,3,0,0.0,0
2025415,ダウンズ,1,0,0.0,0
2025416,周東,5,1,0.2,0
2025416,山本,3,0,0.0,1
2025416,中村,4,2,0.5,0
2025416,山川,4,1,0.25,0
2025416,正木,3,1,0.3333333333333333,0
2025416,今宮,3,1,0.3333333333333333,0
2025416,廣瀨隆,4,0,0.0,0
2025416,海野,1,0,0.0,0
2025416,渡邉,2,0,0.0,0
2025416,川瀬,4,2,0.5,0
2025417,周東,4,1,0.25,0
2025417,今宮,3,1,0.3333333333333333,0
2025417,野村,0,0,0,0
2025417,栗原,5,2,0.4,0
2025417,山川,5,0,0.0,0
2025417,正木,4,1,0.25,0
2025417,牧原大,0,0,0,0
2025417,中村,4,3,0.75,3
2025417,緒方,0,0,0,0
2025417,廣瀨隆,3,1,0.3333333333333333,0
2025417,山本,3,0,0.0,0
2025417,佐藤直,1,0,0.0,0
2025417,渡邉,3,0,0.0,0
2025417,柳町,1,0,0.0,0
2025418,川瀬,3,0,0.0,0
2025418,佐藤直,3,0,0.0,0
2025418,栗原,4,0,0.0,0
2025418,山川,3,0,0.0,1
