matchID,球場
2025328,みずほPayPay
2025329,みずほPayPay
2025330,みずほPayPay
202541,エスコンＦ
202542,エスコンＦ
202544,みずほPayPay
202545,みずほPayPay
202546,みずほPayPay
202548,京セラD大阪
202549,京セラD大阪
2025410,京セラD大阪
2025411,ZOZOマリン
2025412,ZOZOマリン
2025415,みずほPayPay
2025416,みずほPayPay
2025417,みずほPayPay
2025418,ベルーナドーム
2025419,ベルーナドーム
2025420,ベルーナドーム
2025422,みずほPayPay
2025423,みずほPayPay
2025425,楽天モバイル
2025426,楽天モバイル
2025427,楽天モバイル
2025429,みずほPayPay
2025430,みずほPayPay
202551,みずほPayPay
202552,みずほPayPay
202553,みずほPayPay
202554,みずほPayPay
202555,ベルーナドーム
202556,ベルーナドーム
202557,ベルーナドーム
202559,京セラD大阪
2025510,京セラD大阪
2025511,京セラD大阪
2025513,京セラD大阪
2025514,みずほPayPay
2025515,みずほPayPay
2025516,みずほPayPay
2025517,みずほPayPay
2025518,みずほPayPay
2025520,エスコンＦ
2025521,エスコンＦ
2025522,エスコンＦ
2025525,鹿児島
2025527,みずほPayPay
2025528,みずほPayPay
2025530,楽天モバイル
202561,楽天モバイル
202563,みずほPayPay
202564,みずほPayPay
202565,みずほPayPay
202566,神　宮
202567,神　宮
202568,神　宮
2025610,みずほPayPay
2025611,みずほPayPay
2025612,みずほPayPay
2025613,みずほPayPay
2025614,みずほPayPay
2025615,みずほPayPay
2025617,マツダ
2025618,マツダ
2025619,マツダ
2025620,甲子園
2025621,甲子園
2025622,甲子園
2025627,ZOZOマリン
2025628,ZOZOマリン
2025629,ZOZOマリン
202571,東京ドーム
202572,みずほPayPay
202573,みずほPayPay
202574,みずほPayPay
202575,みずほPayPay
202576,みずほPayPay
202578,京セラD大阪
202579,京セラD大阪
2025710,京セラD大阪
2025711,楽天モバイル
2025712,楽天モバイル
2025713,楽天モバイル
2025715,みずほPayPay
2025716,みずほPayPay
2025717,北九州
2025719,ベルーナドーム
2025720,ベルーナドーム
2025721,ベルーナドーム
2025726,みずほPayPay
2025727,みずほPayPay
2025729,エスコンＦ
2025730,エスコンＦ
2025731,エスコンＦ
202581,みずほPayPay
202582,みずほPayPay
202583,みずほPayPay
202585,ZOZOマリン
202586,ZOZOマリン
202587,ZOZOマリン
202589,みずほPayPay
2025810,みずほPayPay
2025811,みずほPayPay
2025813,ベルーナドーム
2025814,ベルーナドーム
2025815,みずほPayPay
2025816,みずほPayPay
2025817,みずほPayPay
2025819,みずほPayPay
2025820,みずほPayPay
2025822,エスコンＦ
2025823,エスコンＦ
2025824,エスコンＦ
2025826,弘　前
2025827,秋　田
2025829,ZOZOマリン
2025830,ZOZOマリン
2025831,ZOZOマリン
202592,みずほPayPay
202593,みずほPayPay
202594,みずほPayPay
202595,みずほPayPay
202596,みずほPayPay
202597,みずほPayPay
202599,エスコンＦ
2025911,ZOZOマリン
2025913,京セラD大阪
2025914,京セラD大阪
2025915,京セラD大阪
2025917,みずほPayPay
2025918,みずほPayPay
2025920,みずほPayPay
2025921,みずほPayPay
2025922,みずほPayPay
2025923,みずほPayPay
2025924,楽天モバイル
2025925,楽天モバイル
2025926,楽天モバイル
2025927,ベルーナドーム
2025928,ベルーナドーム
2025930,みずほPayPay
2025103,みずほPayPay
2025105,ZOZOマリン
20251015,みずほPayPay
20251016,みずほPayPay
20251017,みずほPayPay
20251018,みずほPayPay
20251019,みずほPayPay
20251020,みずほPayPay
20251025,みずほPayPay
20251026,みずほPayPay
20251028,甲子園
20251029,甲子園
20251030,甲子園
