matchID,球場
2025328,ベルーナドーム
2025329,ベルーナドーム
2025330,ベルーナドーム
202541,エスコンＦ
202542,エスコンＦ
202544,エスコンＦ
202545,エスコンＦ
202546,エスコンＦ
202548,楽天モバイル
202549,楽天モバイル
2025410,楽天モバイル
2025411,エスコンＦ
2025412,エスコンＦ
2025413,エスコンＦ
2025415,ZOZOマリン
2025416,ZOZOマリン
2025418,京セラD大阪
2025419,京セラD大阪
2025420,京セラD大阪
2025422,エスコンＦ
2025423,エスコンＦ
2025425,エスコンＦ
2025426,エスコンＦ
2025427,エスコンＦ
2025429,みずほPayPay
2025430,みずほPayPay
202551,みずほPayPay
202553,エスコンＦ
202554,エスコンＦ
202555,京セラD大阪
202556,京セラD大阪
202557,京セラD大阪
202559,エスコンＦ
2025510,エスコンＦ
2025511,エスコンＦ
2025513,エスコンＦ
2025514,エスコンＦ
2025515,エスコンＦ
2025516,ZOZOマリン
2025518,ZOZOマリン
2025520,エスコンＦ
2025521,エスコンＦ
2025522,エスコンＦ
2025523,楽天モバイル
2025524,楽天モバイル
2025525,楽天モバイル
2025527,みずほPayPay
2025528,みずほPayPay
2025530,エスコンＦ
2025531,エスコンＦ
202561,エスコンＦ
202563,エスコンＦ
202564,エスコンＦ
202565,エスコンＦ
202566,横　浜
202567,横　浜
202568,横　浜
2025610,エスコンＦ
2025611,エスコンＦ
2025612,エスコンＦ
2025613,エスコンＦ
2025614,エスコンＦ
2025615,エスコンＦ
2025617,東京ドーム
2025618,東京ドーム
2025619,東京ドーム
2025620,バンテリンドーム
2025621,バンテリンドーム
2025622,バンテリンドーム
2025627,ベルーナドーム
2025628,ベルーナドーム
2025629,ベルーナドーム
202571,東京ドーム
202572,みずほPayPay
202573,みずほPayPay
202574,エスコンＦ
202575,エスコンＦ
202576,エスコンＦ
202578,ZOZOマリン
202579,ZOZOマリン
2025711,エスコンＦ
2025712,エスコンＦ
2025713,エスコンＦ
2025714,東京ドーム
2025716,ベルーナドーム
2025717,ベルーナドーム
2025719,楽天モバイル
2025720,楽天モバイル
2025721,楽天モバイル
2025726,エスコンＦ
2025727,エスコンＦ
2025729,エスコンＦ
2025730,エスコンＦ
2025731,エスコンＦ
202581,京セラD大阪
202582,京セラD大阪
202583,京セラD大阪
202585,エスコンＦ
202586,エスコンＦ
202587,エスコンＦ
202589,みずほPayPay
2025810,みずほPayPay
2025811,みずほPayPay
2025813,エスコンＦ
2025814,エスコンＦ
2025815,楽天モバイル
2025816,楽天モバイル
2025817,楽天モバイル
2025819,エスコンＦ
2025820,エスコンＦ
2025821,エスコンＦ
2025822,エスコンＦ
2025823,エスコンＦ
2025824,エスコンＦ
2025826,ベルーナドーム
2025827,ベルーナドーム
2025829,エスコンＦ
2025830,エスコンＦ
2025831,エスコンＦ
202592,ZOZOマリン
202593,ZOZOマリン
202594,ZOZOマリン
202595,京セラD大阪
202596,京セラD大阪
202597,京セラD大阪
202599,エスコンＦ
2025911,エスコンＦ
2025912,エスコンＦ
2025913,エスコンＦ
2025914,エスコンＦ
2025915,エスコンＦ
2025917,楽天モバイル
2025918,みずほPayPay
2025920,エスコンＦ
2025921,エスコンＦ
2025922,エスコンＦ
2025923,エスコンＦ
2025925,ベルーナドーム
2025926,ベルーナドーム
2025927,ZOZOマリン
2025928,ZOZOマリン
2025930,みずほPayPay
2025104,ZOZOマリン
20251011,エスコンＦ
20251012,エスコンＦ
20251015,みずほPayPay
20251016,みずほPayPay
20251017,みずほPayPay
20251018,みずほPayPay
20251019,みずほPayPay
20251020,みずほPayPay
