matchID,球場
2025328,ベルーナドーム
2025329,ベルーナドーム
2025330,ベルーナドーム
202543,楽天モバイル
202544,みずほPayPay
202545,みずほPayPay
202546,みずほPayPay
202548,ベルーナドーム
202549,県営大宮
2025411,エスコンＦ
2025412,エスコンＦ
2025413,エスコンＦ
2025415,京セラD大阪
2025416,京セラD大阪
2025417,京セラD大阪
2025418,ベルーナドーム
2025419,ベルーナドーム
2025420,ベルーナドーム
2025422,ZOZOマリン
2025423,ZOZOマリン
2025425,ベルーナドーム
2025426,ベルーナドーム
2025427,ベルーナドーム
2025429,ベルーナドーム
2025430,ベルーナドーム
202551,ベルーナドーム
202553,エスコンＦ
202554,エスコンＦ
202555,ベルーナドーム
202556,ベルーナドーム
202557,ベルーナドーム
202559,県営大宮
2025510,ベルーナドーム
2025511,ベルーナドーム
2025513,京セラD大阪
2025514,みずほPayPay
2025515,みずほPayPay
2025516,ベルーナドーム
2025517,ベルーナドーム
2025518,ベルーナドーム
2025520,盛　岡
2025522,楽天モバイル
2025523,ZOZOマリン
2025524,ZOZOマリン
2025525,ZOZOマリン
2025527,前　橋
2025528,ベルーナドーム
2025529,ベルーナドーム
2025531,ほっと神戸
202561,ほっと神戸
202563,ベルーナドーム
202564,ベルーナドーム
202565,ベルーナドーム
202566,マツダ
202567,マツダ
202568,マツダ
2025610,ベルーナドーム
2025611,ベルーナドーム
2025612,ベルーナドーム
2025613,ベルーナドーム
2025614,ベルーナドーム
2025615,ベルーナドーム
2025617,横　浜
2025618,横　浜
2025619,横　浜
2025620,東京ドーム
2025621,東京ドーム
2025622,東京ドーム
2025627,ベルーナドーム
2025628,ベルーナドーム
2025629,ベルーナドーム
202571,那　覇
202572,那　覇
202574,みずほPayPay
202575,みずほPayPay
202576,みずほPayPay
202578,ベルーナドーム
202579,ベルーナドーム
2025710,ベルーナドーム
2025711,ZOZOマリン
2025712,ZOZOマリン
2025713,ZOZOマリン
2025714,東京ドーム
2025716,ベルーナドーム
2025717,ベルーナドーム
2025719,ベルーナドーム
2025720,ベルーナドーム
2025721,ベルーナドーム
2025726,楽天モバイル
2025727,楽天モバイル
2025729,京セラD大阪
2025730,京セラD大阪
2025731,京セラD大阪
202581,ベルーナドーム
202582,ベルーナドーム
202583,ベルーナドーム
202585,エスコンＦ
202586,エスコンＦ
202587,エスコンＦ
202589,ベルーナドーム
2025810,ベルーナドーム
2025811,ベルーナドーム
2025813,ベルーナドーム
2025814,ベルーナドーム
2025815,京セラD大阪
2025816,京セラD大阪
2025817,京セラD大阪
2025819,みずほPayPay
2025820,みずほPayPay
2025822,ZOZOマリン
2025823,ZOZOマリン
2025824,ZOZOマリン
2025826,ベルーナドーム
2025827,ベルーナドーム
2025829,ベルーナドーム
2025830,ベルーナドーム
2025831,ベルーナドーム
202592,楽天モバイル
202593,楽天モバイル
202595,ベルーナドーム
202596,ベルーナドーム
202597,ベルーナドーム
202599,楽天モバイル
2025912,エスコンＦ
2025913,エスコンＦ
2025914,エスコンＦ
2025915,エスコンＦ
2025917,みずほPayPay
2025918,ベルーナドーム
2025919,楽天モバイル
2025920,楽天モバイル
2025921,楽天モバイル
2025923,ZOZOマリン
2025924,ZOZOマリン
2025925,ベルーナドーム
2025926,ベルーナドーム
2025927,ベルーナドーム
2025928,ベルーナドーム
2025929,ベルーナドーム
2025101,京セラD大阪
2025102,京セラD大阪
2025103,楽天モバイル
2025104,楽天モバイル
