matchID,球場
2025328,東京ドーム
2025329,東京ドーム
2025330,東京ドーム
202542,神　宮
202543,神　宮
202544,神　宮
202545,神　宮
202546,神　宮
202548,甲子園
202549,甲子園
2025412,横　浜
2025415,松　山
2025417,神　宮
2025418,神　宮
2025419,神　宮
2025420,神　宮
2025423,マツダ
2025425,バンテリンドーム
2025426,バンテリンドーム
2025427,バンテリンドーム
2025429,神　宮
2025430,神　宮
202551,神　宮
202552,甲子園
202553,甲子園
202554,甲子園
202555,神　宮
202557,神　宮
202559,神　宮
2025510,神　宮
2025511,神　宮
2025513,豊　橋
2025514,バンテリンドーム
2025516,神　宮
2025517,神　宮
2025518,神　宮
2025520,マツダ
2025522,マツダ
2025523,東京ドーム
2025524,東京ドーム
2025525,東京ドーム
2025527,神　宮
2025528,神　宮
2025529,神　宮
2025530,横　浜
2025531,横　浜
202561,横　浜
202563,ベルーナドーム
202564,ベルーナドーム
202565,ベルーナドーム
202566,神　宮
202567,神　宮
202568,神　宮
2025610,エスコンＦ
2025611,エスコンＦ
2025612,エスコンＦ
2025613,ZOZOマリン
2025614,ZOZOマリン
2025615,ZOZOマリン
2025617,神　宮
2025618,神　宮
2025619,神　宮
2025620,神　宮
2025621,神　宮
2025622,神　宮
2025627,神　宮
2025628,神　宮
2025629,神　宮
202571,マツダ
202572,マツダ
202573,マツダ
202574,バンテリンドーム
202575,バンテリンドーム
202576,バンテリンドーム
202578,神　宮
202579,神　宮
2025711,甲子園
2025712,甲子園
2025713,甲子園
2025717,神　宮
2025719,神　宮
2025720,神　宮
2025721,神　宮
2025726,神　宮
2025727,神　宮
2025729,横　浜
2025730,横　浜
2025731,横　浜
202581,神　宮
202582,神　宮
202583,神　宮
202585,東京ドーム
202586,東京ドーム
202587,東京ドーム
202588,京セラD大阪
202589,京セラD大阪
2025810,京セラD大阪
2025811,神　宮
2025812,神　宮
2025813,神　宮
2025815,マツダ
2025816,マツダ
2025817,マツダ
2025819,神　宮
2025820,神　宮
2025821,神　宮
2025822,神　宮
2025823,神　宮
2025824,神　宮
2025826,バンテリンドーム
2025827,バンテリンドーム
2025828,バンテリンドーム
2025829,神　宮
2025830,神　宮
2025831,神　宮
202592,京セラD大阪
202593,京セラD大阪
202594,岐　阜
202595,横　浜
202596,横　浜
202597,横　浜
202599,神　宮
2025910,神　宮
2025911,神　宮
2025912,神　宮
2025913,神　宮
2025914,マツダ
2025915,マツダ
2025917,神　宮
2025918,神　宮
2025919,バンテリンドーム
2025920,バンテリンドーム
2025921,神　宮
2025922,神　宮
2025923,神　宮
2025926,神　宮
2025927,神　宮
2025928,神　宮
2025930,横　浜
2025101,横　浜
2025102,甲子園
2025103,マツダ
2025104,マツダ
