matchID,開始時間,終了時間
2025328,18,21
2025329,14,17
2025330,13,16
202541,18,21
202542,18,21
202544,18,21
202545,14,17
202546,13,16
202548,18,21
202549,18,21
2025410,18,22
2025411,18,21
2025412,14,17
2025415,18,21
2025416,18,21
2025417,18,21
2025418,18,20
2025419,18,20
2025420,13,15
2025422,18,22
2025423,18,20
2025425,18,20
2025426,14,17
2025427,13,16
2025429,18,21
2025430,18,21
202551,18,21
202552,18,21
202553,14,16
202554,13,16
202555,18,21
202556,14,16
202557,18,20
202559,18,21
2025510,18,21
2025511,13,15
2025513,18,20
2025514,18,20
2025515,18,20
2025516,18,21
2025517,14,17
2025518,14,18
2025520,18,20
2025521,18,20
2025522,18,22
2025525,14,17
2025527,18,21
2025528,18,20
2025530,18,22
202561,13,16
202563,18,21
202564,18,21
202565,18,21
202566,18,21
202567,14,17
202568,13,16
2025610,18,21
2025611,18,21
2025612,18,21
2025613,18,20
2025614,18,20
2025615,14,17
2025617,18,20
2025618,18,21
2025619,18,21
2025620,18,21
2025621,14,17
2025622,14,17
2025627,18,20
2025628,18,20
2025629,17,19
202571,18,20
202572,18,20
202573,18,20
202574,18,20
202575,18,21
202576,13,15
202578,18,21
202579,18,20
2025710,18,20
2025711,18,20
2025712,16,19
2025713,13,16
2025715,18,21
2025716,18,20
2025717,18,21
2025719,18,20
2025720,17,19
2025721,17,19
2025726,18,21
2025727,14,16
2025729,18,20
2025730,18,21
2025731,18,21
202581,18,20
202582,14,17
202583,13,16
202585,18,21
202586,18,21
202587,18,21
202589,14,16
2025810,14,16
2025811,14,17
2025813,18,20
2025814,18,20
2025815,18,20
2025816,14,16
2025817,13,15
2025819,18,21
2025820,18,20
2025822,18,20
2025823,14,17
2025824,14,17
2025826,18,21
2025827,18,21
2025829,18,20
2025830,18,21
2025831,16,19
202592,18,21
202593,18,21
202594,18,20
202595,18,21
202596,14,17
202597,13,16
202599,18,21
2025911,18,20
2025913,18,21
2025914,13,16
2025915,14,17
2025917,18,21
2025918,18,21
2025920,14,17
2025921,14,16
2025922,18,21
2025923,14,17
2025924,18,20
2025925,18,21
2025926,18,21
2025927,18,21
2025928,14,17
2025930,18,20
2025103,18,20
2025105,14,17
20251015,18,21
20251016,18,21
20251017,18,21
20251018,14,17
20251019,13,16
20251020,18,20
20251025,18,21
20251026,18,21
20251028,18,21
20251029,18,21
20251030,18,22
