matchID,開始時間,終了時間
2025328,18,21
2025329,14,17
2025330,13,16
202541,18,21
202542,18,22
202543,18,20
202544,18,21
202545,14,16
202546,13,15
202548,18,20
202549,18,21
2025411,18,21
2025412,14,17
2025415,18,21
2025417,18,22
2025418,18,21
2025419,14,17
2025420,14,17
2025422,17,20
2025423,17,21
2025424,17,21
2025425,18,20
2025426,14,17
2025427,14,17
2025429,14,16
2025430,18,22
202551,18,21
202552,18,21
202553,14,17
202554,14,17
202555,18,20
202556,18,21
202557,18,21
2025510,14,16
2025511,14,16
2025513,18,22
2025515,18,21
2025516,18,20
2025517,14,16
2025518,14,16
2025520,18,20
2025521,18,22
2025522,18,22
2025523,18,21
2025524,14,17
2025525,13,16
2025527,18,21
2025528,18,21
2025529,18,20
2025530,18,21
2025531,14,16
202561,13,16
202563,18,21
202564,18,20
202565,18,21
202566,18,21
202567,18,21
202568,14,17
2025610,18,21
2025611,18,20
2025612,18,21
2025613,18,21
2025614,14,19
2025615,13,17
2025617,18,21
2025618,18,21
2025619,18,20
2025620,18,21
2025621,14,17
2025622,14,17
2025627,18,21
2025628,14,16
2025629,13,16
202571,18,21
202572,18,21
202573,18,21
202574,18,21
202575,18,20
202576,18,20
202578,18,21
202579,18,22
2025710,18,21
2025711,18,22
2025712,18,20
2025713,18,21
2025715,18,21
2025716,18,21
2025719,18,21
2025720,14,16
2025721,14,17
2025726,18,20
2025727,18,21
2025729,18,20
2025730,18,21
2025731,18,21
202581,18,21
202582,18,20
202583,18,21
202585,18,21
202586,18,22
202587,18,20
202588,18,22
202589,18,21
2025810,18,21
2025812,18,21
2025813,18,20
2025815,18,21
2025816,14,16
2025817,13,16
2025819,18,21
2025820,18,21
2025822,18,21
2025823,18,22
2025824,17,20
2025826,17,21
2025827,17,20
2025828,17,20
2025829,18,21
2025830,18,21
2025831,18,21
202592,18,21
202593,18,20
202594,18,21
202595,18,20
202596,18,21
202597,18,21
202599,18,20
2025910,18,21
2025911,18,20
2025913,14,18
2025914,18,20
2025915,14,16
2025917,19,22
2025918,18,21
2025919,18,20
2025920,14,17
2025921,18,22
2025922,18,20
2025923,14,18
2025926,18,20
2025927,14,17
2025928,14,17
2025102,18,20
20251015,18,21
20251016,18,22
20251017,18,21
20251025,18,21
20251026,18,21
20251028,18,21
20251029,18,21
20251030,18,22
