matchID,開始時間,終了時間
2025328,18,20
2025329,14,17
2025330,13,15
202541,18,21
202542,18,21
202544,18,20
202545,14,17
202546,13,16
202548,18,20
202549,18,21
2025410,18,21
2025411,18,21
2025412,14,17
2025413,13,16
2025415,18,21
2025416,18,20
2025418,18,21
2025419,14,17
2025420,13,16
2025422,18,21
2025423,18,21
2025425,18,20
2025426,14,16
2025427,13,16
2025429,18,21
2025430,18,21
202551,18,21
202553,14,17
202554,13,15
202555,18,20
202556,14,17
202557,18,22
202559,18,21
2025510,14,17
2025511,13,15
2025513,13,16
2025514,13,16
2025515,13,16
2025516,18,20
2025518,14,17
2025520,18,20
2025521,18,20
2025522,18,22
2025523,18,20
2025524,14,17
2025525,13,16
2025527,18,21
2025528,18,20
2025530,18,20
2025531,14,16
202561,13,15
202563,18,21
202564,18,20
202565,18,21
202566,18,20
202567,14,17
202568,14,17
2025610,18,21
2025611,18,20
2025612,18,20
2025613,18,21
2025614,14,16
2025615,13,16
2025617,18,20
2025618,18,20
2025619,18,20
2025620,18,20
2025621,14,17
2025622,13,16
2025627,18,21
2025628,18,20
2025629,14,16
202571,18,20
202572,18,20
202573,18,20
202574,18,20
202575,14,17
202576,13,16
202578,18,22
202579,18,20
2025711,18,21
2025712,14,17
2025713,13,16
2025714,18,20
2025716,18,21
2025717,18,20
2025719,14,17
2025720,13,15
2025721,13,16
2025726,18,20
2025727,14,18
2025729,18,20
2025730,18,21
2025731,18,21
202581,18,20
202582,14,17
202583,13,16
202585,14,16
202586,14,16
202587,14,17
202589,14,16
2025810,14,16
2025811,14,17
2025813,18,21
2025814,18,21
2025815,18,20
2025816,18,21
2025817,17,20
2025819,18,21
2025820,18,21
2025821,18,21
2025822,18,20
2025823,14,17
2025824,14,17
2025826,18,22
2025827,18,21
2025829,18,21
2025830,14,17
2025831,13,17
202592,18,21
202593,18,20
202594,18,21
202595,19,23
202596,14,16
202597,13,16
202599,18,21
2025911,18,21
2025912,18,20
2025913,14,18
2025914,14,16
2025915,13,16
2025917,18,21
2025918,18,21
2025920,14,17
2025921,14,16
2025922,14,17
2025923,14,17
2025925,18,21
2025926,18,21
2025927,18,20
2025928,17,20
2025930,18,20
2025104,14,16
20251011,14,16
20251012,14,17
20251015,18,21
20251016,18,21
20251017,18,21
20251018,14,17
20251019,13,16
20251020,18,20
