matchID,開始時間,終了時間
2025328,18,20
2025329,14,17
2025330,13,15
202543,13,16
202544,18,21
202545,14,17
202546,13,16
202548,18,21
202549,18,20
2025411,18,21
2025412,14,17
2025413,13,16
2025415,18,20
2025416,18,21
2025417,18,21
2025418,18,20
2025419,18,20
2025420,13,15
2025422,18,21
2025423,18,20
2025425,18,21
2025426,14,16
2025427,13,15
2025429,14,17
2025430,18,20
202551,18,21
202553,14,17
202554,13,15
202555,18,21
202556,14,16
202557,18,20
202559,18,20
2025510,18,21
2025511,14,16
2025513,18,20
2025514,18,20
2025515,18,20
2025516,18,20
2025517,14,17
2025518,14,16
2025520,18,21
2025522,18,20
2025523,18,20
2025524,14,16
2025525,14,17
2025527,18,21
2025528,18,21
2025529,18,21
2025531,18,22
202561,16,18
202563,18,21
202564,18,21
202565,18,20
202566,18,20
202567,14,16
202568,13,16
2025610,18,21
2025611,18,20
2025612,18,21
2025613,18,21
2025614,14,16
2025615,13,15
2025617,18,20
2025618,18,21
2025619,18,21
2025620,18,20
2025621,14,16
2025622,14,17
2025627,18,21
2025628,18,20
2025629,14,16
202571,18,21
202572,18,22
202574,18,20
202575,18,21
202576,13,15
202578,18,21
202579,18,21
2025710,18,20
2025711,18,22
2025712,18,20
2025713,17,19
2025714,18,20
2025716,18,21
2025717,18,20
2025719,18,20
2025720,17,19
2025721,17,19
2025726,18,21
2025727,17,20
2025729,18,21
2025730,18,20
2025731,18,21
202581,18,20
202582,18,22
202583,17,20
202585,14,16
202586,14,16
202587,14,17
202589,18,20
2025810,17,20
2025811,17,20
2025813,18,20
2025814,18,20
2025815,18,20
2025816,14,16
2025817,13,16
2025819,18,21
2025820,18,20
2025822,18,20
2025823,18,20
2025824,17,20
2025826,18,22
2025827,18,21
2025829,18,21
2025830,17,20
2025831,17,20
202592,18,20
202593,18,21
202595,18,21
202596,17,19
202597,18,20
202599,18,22
2025912,18,20
2025913,14,18
2025914,14,16
2025915,13,16
2025917,18,21
2025918,18,21
2025919,18,21
2025920,14,17
2025921,13,16
2025923,18,20
2025924,18,20
2025925,18,21
2025926,18,21
2025927,18,21
2025928,14,17
2025929,18,20
2025101,18,21
2025102,18,21
2025103,18,21
2025104,14,16
