matchID,開始時間,終了時間
2025328,18,21
2025329,14,16
2025330,14,17
202542,18,21
202543,18,20
202544,18,22
202545,14,16
202546,13,16
202548,18,20
202549,18,21
2025412,14,16
2025415,18,21
2025417,18,22
2025418,18,21
2025419,18,21
2025420,18,21
2025423,18,21
2025425,18,21
2025426,14,16
2025427,13,16
2025429,13,17
2025430,18,21
202551,18,21
202552,18,21
202553,14,17
202554,14,17
202555,18,21
202557,18,21
202559,18,20
2025510,18,21
2025511,18,20
2025513,18,21
2025514,18,20
2025516,18,21
2025517,18,21
2025518,18,21
2025520,18,21
2025522,18,22
2025523,18,20
2025524,18,20
2025525,14,17
2025527,18,21
2025528,18,21
2025529,18,20
2025530,18,21
2025531,14,18
202561,14,16
202563,18,21
202564,18,21
202565,18,20
202566,18,21
202567,14,17
202568,13,16
2025610,18,21
2025611,18,20
2025612,18,20
2025613,18,21
2025614,14,16
2025615,14,17
2025617,18,22
2025618,18,21
2025619,18,20
2025620,18,22
2025621,14,17
2025622,13,17
2025627,18,21
2025628,14,16
2025629,13,16
202571,18,22
202572,18,20
202573,18,21
202574,18,20
202575,14,19
202576,13,16
202578,18,20
202579,18,22
2025711,18,22
2025712,18,20
2025713,18,21
2025717,18,21
2025719,18,20
2025720,18,21
2025721,18,21
2025726,18,21
2025727,18,20
2025729,17,20
2025730,17,20
2025731,17,20
202581,18,21
202582,18,20
202583,18,21
202585,18,20
202586,18,20
202587,18,21
202588,18,22
202589,18,21
2025810,18,21
2025811,18,21
2025812,18,20
2025813,18,21
2025815,18,20
2025816,18,21
2025817,18,21
2025819,18,21
2025820,18,21
2025821,18,21
2025822,18,21
2025823,18,22
2025824,17,20
2025826,18,20
2025827,18,20
2025828,18,21
2025829,18,20
2025830,18,20
2025831,17,20
202592,18,21
202593,18,21
202594,18,21
202595,18,21
202596,18,21
202597,18,20
202599,18,21
2025910,18,21
2025911,18,21
2025912,18,21
2025913,18,21
2025914,18,21
2025915,14,17
2025917,18,21
2025918,18,21
2025919,18,21
2025920,14,16
2025921,18,22
2025922,18,20
2025923,18,21
2025926,18,21
2025927,18,20
2025928,18,21
2025930,18,21
2025101,18,21
2025102,18,20
2025103,18,21
2025104,13,16
