名前,チーム,地域,エリア
二俣,広島東洋カープ,静岡,1
矢野,広島東洋カープ,大阪,1
小園,広島東洋カープ,兵庫,1
モンテロ,広島東洋カープ,ドミニカ共和国,2
秋山,広島東洋カープ,神奈川,1
ファビアン,広島東洋カープ,ドミニカ共和国,2
菊池,広島東洋カープ,東京,1
森下,広島東洋カープ,大分,1
野間,広島東洋カープ,兵庫,1
會澤,広島東洋カープ,茨城,1
田村,広島東洋カープ,高知,1
石原,広島東洋カープ,兵庫,1
床田,広島東洋カープ,兵庫,1
堂林,広島東洋カープ,愛知,1
森,広島東洋カープ,鳥取,1
大盛,広島東洋カープ,大阪,1
末包,広島東洋カープ,香川,1
大瀬良,広島東洋カープ,長崎,1
玉村,広島東洋カープ,福井,0
林,広島東洋カープ,和歌山,1
山足,広島東洋カープ,大阪,1
磯村,広島東洋カープ,愛知,1
ドミンゲス,広島東洋カープ,ドミニカ共和国,2
中村奨,広島東洋カープ,広島,1
羽月,広島東洋カープ,宮崎,1
坂倉,広島東洋カープ,千葉,1
高橋,広島東洋カープ,埼玉,1
佐々木,広島東洋カープ,岐阜,1
上本,広島東洋カープ,広島,1
田中,広島東洋カープ,神奈川,1
佐藤柳,広島東洋カープ,宮城,0
中村健,広島東洋カープ,愛知,1
久保,広島東洋カープ,大阪,1
髙,広島東洋カープ,愛媛,1
遠藤,広島東洋カープ,茨城,1
前川,広島東洋カープ,京都,1
常廣,広島東洋カープ,大分,1
内田,広島東洋カープ,長野,0
アドゥワ,広島東洋カープ,熊本,1
清水,広島東洋カープ,群馬,1
佐藤啓,広島東洋カープ,愛知,1
渡邉,広島東洋カープ,東京,1
斉藤,広島東洋カープ,北海道,0
松山,広島東洋カープ,鹿児島,1
矢澤,北海道日本ハムファイターズ,東京,1
清宮幸,北海道日本ハムファイターズ,東京,1
レイエス,北海道日本ハムファイターズ,ドミニカ共和国,2
野村,北海道日本ハムファイターズ,群馬,1
田宮,北海道日本ハムファイターズ,千葉,1
