エリア,打率,気温(°C)
1,0.0,12.15
1,0.3333333333333333,12.15
1,0.25,12.15
2,0.0,12.15
1,0.25,12.15
2,0.0,12.15
1,0.3333333333333333,12.15
1,0.0,12.15
1,0.0,12.15
1,0.0,12.15
1,0.0,12.15
1,0.6,12.525
1,0.0,12.525
1,0.6666666666666666,12.525
2,0.0,12.525
1,0.5,12.525
2,0.0,12.525
1,0.0,12.525
1,0.3333333333333333,12.525
1,0.0,12.525
1,0.5,12.525
1,0.0,12.525
1,0.0,12.525
1,0.0,8.725
1,0.5,8.725
1,0.6666666666666666,8.725
2,0.25,8.725
1,1.0,8.725
1,1.0,8.725
2,0.25,8.725
1,0.0,8.725
1,0.25,8.725
1,0.5,8.725
1,0.25,12.85
1,0.5,12.85
1,0.5,12.85
1,0.25,12.85
1,0.25,12.85
2,0.5,12.85
1,0.4,12.85
1,0.0,12.85
1,0.3333333333333333,12.85
1,0.0,16.275
1,0.0,16.275
1,0.25,16.275
1,0.3333333333333333,16.275
1,0.0,16.275
2,0.25,16.275
1,0.0,16.275
1,0.4,16.275
1,0.4,16.275
1,0.0,16.275
1,1.0,16.275
1,1.0,16.275
1,0.0,16.275
1,0.0,16.275
1,0.5,19.125
1,0.25,19.125
1,0.5,19.125
1,0.25,19.125
1,0.0,19.125
1,0.6666666666666666,19.125
2,0.5,19.125
1,0.5,19.125
1,0.0,19.125
1,0.0,19.125
1,0.0,19.125
1,1.0,19.125
1,0.6666666666666666,18.025
1,0.2,18.025
1,0.4,18.025
1,0.5,18.025
1,0.5,18.025
1,0.0,18.025
2,0.5,18.025
1,1.0,18.025
1,0.3333333333333333,18.025
1,0.0,18.025
1,0.0,18.025
1,1.0,18.025
1,0.0,18.025
1,0.5,18.025
1,0.0,18.025
1,0.5,17.766666666666666
1,0.0,17.766666666666666
1,0.75,17.766666666666666
1,0.25,17.766666666666666
1,0.0,17.766666666666666
2,0.25,17.766666666666666
1,0.3333333333333333,17.766666666666666
1,0.3333333333333333,17.766666666666666
1,0.0,17.766666666666666
1,0.25,17.475
1,0.5,17.475
1,0.75,17.475
1,0.5,17.475
2,0.6666666666666666,17.475
1,0.0,17.475
1,0.0,17.475
1,0.0,17.475
1,0.0,17.475
1,0.5,17.475
1,0.0,17.475
1,0.2,10.625
1,0.5,10.625
1,0.5,10.625
1,0.75,10.625
2,0.25,10.625
1,0.6666666666666666,10.625
1,0.0,10.625
1,0.25,10.625
2,0.0,10.625
1,0.0,10.625
1,0.0,10.625
1,0.25,17.4
1,0.25,17.4
1,0.0,17.4
1,0.25,17.4
2,0.0,17.4
1,0.0,17.4
1,0.0,17.4
1,0.5,17.4
1,1.0,17.4
1,0.0,17.4
1,0.0,17.4
1,0.75,17.525
1,0.25,17.525
1,0.6666666666666666,17.525
1,0.5,17.525
2,0.6,17.525
1,0.25,17.525
1,0.0,17.525
1,0.0,17.525
1,0.0,17.525
1,1.0,17.525
1,0.0,17.225
1,0.3333333333333333,17.225
1,0.0,17.225
1,0.0,17.225
1,0.25,17.225
2,0.75,17.225
1,0.25,17.225
1,0.0,17.225
1,0.0,17.225
1,0.0,17.225
1,0.25,21.233333333333334
1,0.0,21.233333333333334
1,0.0,21.233333333333334
1,0.3333333333333333,21.233333333333334
1,0.0,21.233333333333334
2,0.3333333333333333,21.233333333333334
1,0.6666666666666666,21.233333333333334
1,0.0,21.233333333333334
1,0.0,21.233333333333334
1,0.0,21.625
1,0.25,21.625
2,0.5,21.625
1,0.0,21.625
1,0.6,21.625
1,0.6,21.625
1,0.2,21.625
1,0.25,21.625
1,0.0,21.625
0,1.0,21.625
1,0.0,21.625
1,1.0,21.625
1,0.3333333333333333,21.54
1,0.5,21.54
2,0.3333333333333333,21.54
1,0.6,21.54
1,0.5,21.54
1,0.3333333333333333,21.54
2,0.3333333333333333,21.54
1,0.0,21.54
1,0.0,21.54
1,0.0,21.54
1,0.0,21.54
1,0.0,21.54
1,0.0,22.275
1,0.25,22.275
2,0.5,22.275
1,0.0,22.275
1,0.3333333333333333,22.275
1,0.25,22.275
2,0.0,22.275
1,0.3333333333333333,22.275
1,0.5,22.275
1,0.0,22.275
1,0.0,22.275
1,0.0,22.575
1,0.5,22.575
2,0.3333333333333333,22.575
1,0.0,22.575
1,0.5,22.575
1,0.25,22.575
2,0.3333333333333333,22.575
1,0.0,22.575
2,0.0,22.575
1,1.0,22.575
1,0.0,22.575
1,0.0,22.575
1,0.0,26.675
1,0.0,26.675
2,0.3333333333333333,26.675
1,0.5,26.675
1,0.0,26.675
2,0.6666666666666666,26.675
1,0.0,26.675
1,0.3333333333333333,26.675
1,0.0,26.675
1,0.0,26.675
1,0.0,21.7
1,0.2,21.7
2,0.0,21.7
1,0.25,21.7
1,0.5,21.7
1,1.0,21.7
2,0.25,21.7
1,0.4,21.7
1,0.25,21.7
1,0.0,21.7
1,0.0,21.7
1,0.0,21.7
1,0.0,21.7
1,0.5,23.8
1,0.0,23.8
2,0.25,23.8
1,0.0,23.8
1,0.3333333333333333,23.8
2,0.0,23.8
1,0.0,23.8
1,0.0,23.8
1,0.0,23.8
1,0.0,23.8
1,0.0,23.8
1,0.0,23.8
1,0.0,20.9
1,0.5,20.9
2,0.25,20.9
1,0.0,20.9
1,0.25,20.9
2,0.5,20.9
1,0.0,20.9
1,0.3333333333333333,20.9
1,0.0,20.9
1,0.0,22.3
1,0.0,22.3
2,0.0,22.3
1,1.0,22.3
1,0.0,22.3
1,0.6666666666666666,22.3
2,0.5,22.3
1,0.0,22.3
1,0.0,22.3
1,0.0,22.3
1,0.0,22.3
1,0.3333333333333333,26.0
1,0.0,26.0
1,0.3333333333333333,26.0
2,0.0,26.0
1,0.0,26.0
2,0.25,26.0
1,0.25,26.0
1,0.0,26.0
1,0.0,26.0
