日付,時刻,降水量(mm),気温(°C),露点温度(°C),蒸気圧(hPa),湿度(%),風速(m/s),風向,日照時間(h),全天日射量(MJ/㎡),天気,視程(km)
2025328,01:00,0.0,19.2,17.2,19.6,88,8.0,南南西,0.0,0.0,曇,12.7
2025328,02:00,0.0,19.2,17.4,19.8,89,6.4,南南西,0.0,0.0,曇,12.5
2025328,03:00,0.0,18.7,17.0,19.4,90,7.9,南南西,0.0,0.0,曇,10.4
2025328,04:00,0.0,18.8,16.6,18.9,87,7.5,南南西,0.0,0.0,曇,11.5
2025328,05:00,0.0,18.9,16.9,19.2,88,9.0,南南西,0.0,0.0,曇,11.0
2025328,06:00,0.0,18.7,17.2,19.6,91,7.0,南南西,0.0,0.0,雨,10.6
2025328,07:00,0.0,18.4,17.3,19.7,93,5.7,南南西,0.0,0.0,雨,8.90
2025328,08:00,6.0,18.0,17.4,19.8,96,4.8,南南西,0.0,0.0,雨,3.12
2025328,09:00,5.5,18.1,17.8,20.4,98,2.3,西北西,0.0,0.0,雨,5.77
2025328,10:00,1.0,19.4,18.4,21.2,94,1.4,北東,0.4,0.0,晴れ,15.9
2025328,11:00,0.0,21.6,18.4,21.2,82,1.4,東北東,1.0,0.0,晴れ,20.0
2025328,12:00,0.0,23.1,18.2,20.9,74,1.4,東南東,0.5,0.0,晴れ,19.6
2025328,13:00,0.0,22.4,17.1,19.5,72,3.0,南南東,0.7,0.0,曇,20.0
2025328,14:00,0.0,23.0,17.0,19.4,69,4.9,南西,0.5,0.0,曇,20.0
2025328,15:00,0.0,23.0,17.0,19.4,69,4.6,南南西,0.7,0.0,曇,20.0
2025328,16:00,0.0,22.9,16.9,19.3,69,4.7,南南西,0.1,0.0,曇,20.0
2025328,17:00,0.0,22.4,16.2,18.4,68,3.8,南南西,0.3,0.0,曇,20.0
2025328,18:00,0.0,22.4,13.7,15.7,58,5.7,南西,0.0,0.0,曇,20.0
2025328,19:00,0.0,22.2,13.0,15.0,56,5.4,西南西,0.0,0.0,曇,20.0
2025328,20:00,0.0,20.1,9.4,11.8,50,4.8,北,0.0,0.0,曇,20.0
2025328,21:00,0.0,18.9,10.2,12.4,57,4.6,北北西,0.0,0.0,晴れ,20.0
2025328,22:00,0.0,17.3,12.4,14.4,73,5.0,北,0.0,0.0,曇,20.0
2025328,23:00,0.0,16.2,11.4,13.4,73,3.4,北北東,0.0,0.0,曇,20.0
2025328,24:00,0.0,15.1,11.3,13.4,78,4.1,北北東,0.0,0.0,雨,20.0
2025329,01:00,0.0,13.6,11.5,13.6,87,2.9,北東,0.0,0.0,雨,13.8
2025329,02:00,0.0,13.3,10.8,13.0,85,3.4,東北東,0.0,0.0,曇,18.2
2025329,03:00,0.0,12.9,10.6,12.8,86,3.1,北東,0.0,0.0,曇,20.0
2025329,04:00,0.0,12.3,9.5,11.9,83,3.2,北東,0.0,0.0,雨,20.0
2025329,05:00,0.0,11.8,9.2,11.6,84,2.7,北東,0.0,0.0,雨,17.1
2025329,06:00,0.5,10.6,9.2,11.6,91,3.4,東北東,0.0,0.0,雨,3.03
2025329,07:00,0.0,10.2,9.3,11.7,94,2.1,北北東,0.0,0.0,雨,3.23
2025329,08:00,0.5,9.6,8.2,10.9,91,3.9,東北東,0.0,0.0,雨,9.07
2025329,09:00,3.5,9.0,7.6,10.4,91,6.2,東北東,0.0,0.0,雨,12.9
2025329,10:00,0.0,9.3,7.9,10.7,91,3.1,北東,0.0,0.0,雨,10.9
2025329,11:00,1.5,8.4,7.5,10.4,94,3.4,北,0.0,0.0,雨,3.24
2025329,12:00,2.0,7.0,6.0,9.3,93,3.8,北東,0.0,0.0,雨,5.09
2025329,13:00,0.5,5.6,4.4,8.4,92,3.0,北北東,0.0,0.0,雨,4.09
2025329,14:00,1.0,5.5,4.3,8.3,92,3.0,北東,0.0,0.0,雨,9.91
2025329,15:00,0.5,5.5,4.2,8.2,91,2.5,北北東,0.0,0.0,雨,14.4
2025329,16:00,0.0,5.8,4.0,8.1,88,2.6,北北東,0.0,0.0,雨,9.84
2025329,17:00,0.0,5.8,4.8,8.6,93,2.3,北北東,0.0,0.0,雨,5.09
2025329,18:00,0.5,5.4,4.2,8.3,92,2.3,北北東,0.0,0.0,雨,5.55
2025329,19:00,0.0,5.3,4.0,8.1,91,1.9,北北東,0.0,0.0,雨,12.6
