日付,時刻,降水量(mm),気温(°C),露点温度(°C),蒸気圧(hPa),湿度(%),風速(m/s),風向,日照時間(h),全天日射量(MJ/㎡),天気,視程(km)
2025613,01:00,0.0,17.4,13.3,15.3,77,1.4,西南西,0.0,0.0,晴れ,20.0
2025613,02:00,0.0,17.0,13.0,14.9,77,1.8,北,0.0,0.0,晴れ,20.0
2025613,03:00,0.0,16.3,12.9,14.8,80,1.6,北,0.0,0.0,晴れ,20.0
2025613,04:00,0.0,16.0,12.6,14.5,80,1.7,北北西,0.0,0.00,晴れ,20.0
2025613,05:00,0.0,15.9,12.8,14.8,82,1.3,北北西,0.5,0.09,晴れ,20.0
2025613,06:00,0.0,16.6,13.1,15.1,80,1.9,北北西,1.0,0.54,晴れ,20.0
2025613,07:00,0.0,17.8,12.9,14.9,73,1.0,北,1.0,1.24,晴れ,20.0
2025613,08:00,0.0,20.2,12.9,14.9,63,1.5,東,1.0,1.95,晴れ,20.0
2025613,09:00,0.0,21.2,13.6,15.6,62,3.1,東南東,0.9,2.54,晴れ,20.0
2025613,10:00,0.0,21.4,13.6,15.5,61,4.1,南東,0.9,2.87,晴れ,20.0
2025613,11:00,0.0,20.4,14.3,16.3,68,4.0,東南東,1.0,3.53,晴れ,20.0
2025613,12:00,0.0,20.3,14.4,16.4,69,6.3,南東,1.0,3.47,晴れ,20.0
2025613,13:00,0.0,21.0,15.1,17.2,69,5.5,南東,0.9,3.35,晴れ,20.0
2025613,14:00,0.0,21.6,15.7,17.8,69,5.2,南東,1.0,3.19,晴れ,20.0
2025613,15:00,0.0,21.0,15.6,17.7,71,6.3,南東,0.9,2.56,晴れ,20.0
2025613,16:00,0.0,20.2,15.4,17.5,74,5.6,南東,0.7,1.57,晴れ,20.0
2025613,17:00,0.0,20.1,16.0,18.1,77,4.5,南東,0.5,0.95,晴れ,20.0
2025613,18:00,0.0,19.3,16.0,18.1,81,3.9,南東,0.0,0.36,曇,20.0
2025613,19:00,0.0,19.3,16.7,19.0,85,4.0,南東,0.0,0.07,晴れ,20.0
2025613,20:00,0.0,19.1,16.5,18.8,85,3.0,南南東,0.0,0.00,曇,20.0
2025613,21:00,0.0,19.4,16.6,18.9,84,3.4,南南東,0.0,0.0,曇,20.0
2025613,22:00,0.0,19.4,17.2,19.6,87,3.6,南南東,0.0,0.0,曇,20.0
2025613,23:00,0.0,18.4,17.1,19.5,92,1.9,南南東,0.0,0.0,曇,19.6
2025613,24:00,0.0,18.2,17.2,19.6,94,1.5,南東,0.0,0.0,曇,16.3
2025614,01:00,0.0,18.3,17.3,19.8,94,1.0,南東,0.0,0.0,曇,15.5
2025614,02:00,0.0,18.1,17.3,19.7,95,0.8,南南東,0.0,0.0,曇,13.9
2025614,03:00,0.0,17.8,17.2,19.6,96,1.3,南,0.0,0.0,曇,12.2
