matchID,名前,打数,安打,打率,打点
2025328,近本,4,3,0.75,0
2025328,中野,4,0,0.0,0
2025328,佐藤輝,4,1,0.25,2
2025328,森下,3,1,0.3333333333333333,0
2025328,大山,4,1,0.25,1
2025328,前川,4,1,0.25,1
2025328,坂本,3,1,0.3333333333333333,0
2025328,木浪,4,0,0.0,0
2025328,村上,4,0,0.0,0
2025328,岩崎,0,0,0,0
2025329,近本,4,1,0.25,0
2025329,中野,3,0,0.0,0
2025329,佐藤輝,4,0,0.0,0
2025329,森下,4,2,0.5,2
2025329,大山,4,1,0.25,0
2025329,前川,4,2,0.5,0
2025329,ゲラ,0,0,0,0
2025329,岩崎,0,0,0,0
2025329,坂本,4,2,0.5,0
2025329,木浪,3,1,0.3333333333333333,1
2025329,富田,0,0,0,0
2025329,ヘルナンデス,1,0,0.0,0
2025329,工藤,0,0,0,0
2025329,及川,0,0,0,0
2025329,石井,1,0,0.0,0
2025329,島田,1,0,0.0,0
2025330,近本,3,0,0.0,0
2025330,中野,4,0,0.0,0
2025330,佐藤輝,3,0,0.0,0
2025330,森下,4,0,0.0,0
2025330,大山,3,0,0.0,0
2025330,前川,2,0,0.0,0
2025330,梅野,3,1,0.3333333333333333,0
2025330,木浪,3,1,0.3333333333333333,0
2025330,門別,0,0,0,0
2025330,石黒,0,0,0,0
2025330,榮枝,1,0,0.0,0
2025330,伊原,0,0,0,0
2025330,原口,1,0,0.0,0
2025330,及川,0,0,0,0
202541,近本,4,1,0.25,0
202541,中野,4,2,0.5,0
202541,佐藤輝,4,0,0.0,0
202541,森下,4,1,0.25,0
202541,大山,4,0,0.0,0
202541,井上,3,0,0.0,0
202541,髙寺,1,0,0.0,0
202541,木浪,3,1,0.3333333333333333,1
202541,坂本,2,0,0.0,0
202541,小幡,1,0,0.0,0
202541,才木,1,0,0.0,0
202541,伊原,0,0,0,0
202541,糸原,1,0,0.0,0
202541,工藤,0,0,0,0
202541,石黒,0,0,0,0
202542,近本,4,0,0.0,0
202542,中野,3,0,0.0,0
202542,佐藤輝,6,2,0.3333333333333333,1
202542,森下,5,4,0.8,1
202542,大山,5,2,0.4,3
202542,髙寺,0,0,0,0
202542,前川,3,0,0.0,0
202542,ゲラ,0,0,0,0
202542,小幡,0,0,0,0
202542,木浪,3,1,0.3333333333333333,1
202542,植田,0,0,0,0
202542,岩崎,0,0,0,0
202542,石井,0,0,0,0
202542,坂本,0,0,0,0
202542,伊原,0,0,0,0
202542,工藤,0,0,0,0
202542,糸原,1,0,0.0,0
202542,梅野,5,1,0.2,0
202542,ビーズリー,1,0,0.0,0
202542,桐敷,0,0,0,0
202542,原口,1,0,0.0,0
202542,及川,0,0,0,0
202542,島田,2,0,0.0,0
202543,近本,4,2,0.5,0
202543,中野,4,2,0.5,0
202543,佐藤輝,4,2,0.5,2
202543,森下,4,0,0.0,0
202543,大山,4,0,0.0,0
202543,前川,4,0,0.0,0
202543,榮枝,3,0,0.0,0
202543,糸原,1,1,1.0,0
202543,小幡,3,0,0.0,0
202543,デュプランティエ,2,0,0.0,0
202543,及川,0,0,0,0
202543,島田,1,0,0.0,0
202543,桐敷,0,0,0,0
