matchID,名前,打数,安打,打率,打点
2025328,長谷川,4,0,0.0,0
2025328,西川,4,3,0.75,0
2025328,ネビン,4,1,0.25,0
2025328,セデーニョ,4,0,0.0,0
2025328,渡部聖,3,2,0.6666666666666666,0
2025328,外崎,2,0,0.0,0
2025328,源田,3,0,0.0,0
2025328,古賀悠,3,0,0.0,0
2025328,元山,2,0,0.0,0
2025328,中村剛,0,0,0,0
2025328,滝澤,0,0,0,0
2025329,長谷川,5,1,0.2,0
2025329,西川,4,0,0.0,0
2025329,ネビン,5,2,0.4,0
2025329,中村剛,4,2,0.5,0
2025329,元山,0,0,0,0
2025329,セデーニョ,1,0,0.0,0
2025329,渡部聖,4,1,0.25,1
2025329,外崎,4,1,0.25,1
2025329,源田,4,0,0.0,0
2025329,古賀悠,4,1,0.25,0
2025329,仲田,3,0,0.0,0
2025330,長谷川,4,1,0.25,0
2025330,西川,5,2,0.4,0
2025330,ネビン,3,1,0.3333333333333333,1
2025330,セデーニョ,4,2,0.5,2
2025330,渡部聖,4,2,0.5,0
2025330,外崎,4,1,0.25,1
2025330,源田,3,0,0.0,0
2025330,中村剛,0,0,0,0
2025330,元山,0,0,0,0
2025330,古賀悠,1,0,0.0,0
2025330,牧野,3,0,0.0,0
2025330,滝澤,2,0,0.0,0
2025330,野村大,2,0,0.0,0
202543,長谷川,4,0,0.0,0
202543,西川,4,2,0.5,0
202543,ネビン,4,0,0.0,0
202543,セデーニョ,4,0,0.0,0
202543,渡部聖,4,1,0.25,1
202543,牧野,3,0,0.0,0
202543,外崎,2,0,0.0,0
202543,元山,2,0,0.0,0
202543,野村大,1,0,0.0,0
202543,源田,2,0,0.0,0
202544,長谷川,5,1,0.2,2
202544,西川,4,0,0.0,0
202544,ネビン,4,0,0.0,0
202544,元山,0,0,0,0
202544,セデーニョ,5,1,0.2,0
202544,渡部聖,3,3,1.0,0
202544,野村大,4,1,0.25,2
202544,炭谷,1,0,0.0,0
202544,外崎,2,1,0.5,1
202544,仲田,1,0,0.0,0
202544,古賀悠,3,1,0.3333333333333333,0
202544,平沼,1,0,0.0,0
202544,滝澤,0,0,0,0
202544,源田,4,2,0.5,1
202545,長谷川,4,1,0.25,0
202545,西川,4,1,0.25,1
202545,ネビン,3,1,0.3333333333333333,2
202545,元山,0,0,0,0
202545,セデーニョ,3,0,0.0,1
202545,渡部聖,5,2,0.4,0
202545,野村大,4,0,0.0,0
202545,滝澤,1,0,0.0,0
202545,外崎,4,2,0.5,0
202545,古賀悠,3,1,0.3333333333333333,1
202545,源田,3,1,0.3333333333333333,1
202546,長谷川,3,0,0.0,0
202546,平沼,1,0,0.0,0
202546,山野辺,0,0,0,0
202546,西川,4,3,0.75,0
202546,ネビン,4,1,0.25,0
202546,滝澤,0,0,0,0
202546,セデーニョ,4,2,0.5,0
202546,渡部聖,4,0,0.0,0
202546,野村大,3,0,0.0,0
202546,仲田,1,0,0.0,0
202546,外崎,4,2,0.5,0
202546,古賀悠,2,1,0.5,0
202546,牧野,2,1,0.5,0
202546,源田,1,0,0.0,0
202546,元山,1,0,0.0,0
202548,長谷川,3,1,0.3333333333333333,0
202548,西川,4,0,0.0,0
202548,ネビン,3,1,0.3333333333333333,1
202548,セデーニョ,3,0,0.0,0
202548,中村剛,1,1,1.0,2
202548,渡部聖,4,3,0.75,0
202548,源田,2,0,0.0,0
202548,外崎,3,1,0.3333333333333333,0
202548,古賀悠,2,0,0.0,0
202548,平沼,1,0,0.0,0
202548,牧野,1,0,0.0,0
202548,山野辺,2,0,0.0,0
202548,野村大,1,0,0.0,0
202549,長谷川,4,1,0.25,0
202549,西川,4,0,0.0,0
202549,ネビン,4,1,0.25,0
202549,中村剛,3,2,0.6666666666666666,1
202549,山野辺,0,0,0,0
202549,渡部聖,4,2,0.5,1
202549,源田,3,1,0.3333333333333333,0
202549,外崎,3,0,0.0,0
202549,炭谷,2,0,0.0,0
202549,元山,3,0,0.0,0
2025411,長谷川,5,1,0.2,0
2025411,西川,4,0,0.0,0
2025411,ネビン,3,0,0.0,0
2025411,中村剛,5,1,0.2,0
2025411,渡部聖,5,0,0.0,0
2025411,源田,5,0,0.0,0
2025411,外崎,5,1,0.2,0
2025411,古賀悠,3,0,0.0,0
2025411,元山,2,0,0.0,0
2025411,セデーニョ,1,0,0.0,0
2025411,滝澤,0,0,0,0
2025411,平沼,1,0,0.0,0
2025411,仲田,0,0,0,0
2025412,長谷川,5,0,0.0,0
2025412,西川,5,1,0.2,0
2025412,渡部聖,2,2,1.0,0
2025412,平沼,3,1,0.3333333333333333,1
2025412,仲田,0,0,0,0
