matchID,球場
2025328,横　浜
2025329,横　浜
2025330,横　浜
202541,京セラD大阪
202542,京セラD大阪
202543,京セラD大阪
202544,マツダ
202545,マツダ
202546,マツダ
202548,横　浜
202549,横　浜
2025412,横　浜
2025415,東京ドーム
2025416,東京ドーム
2025417,東京ドーム
2025419,バンテリンドーム
2025420,バンテリンドーム
2025422,横　浜
2025423,横　浜
2025424,横　浜
2025425,横　浜
2025426,横　浜
2025427,横　浜
2025429,神　宮
2025430,神　宮
202551,神　宮
202553,横　浜
202554,横　浜
202555,バンテリンドーム
202556,バンテリンドーム
202557,バンテリンドーム
202559,横　浜
2025510,横　浜
2025511,横　浜
2025513,ハードオフ新潟
2025515,横　浜
2025516,神　宮
2025517,神　宮
2025518,神　宮
2025520,横　浜
2025521,横　浜
2025522,横　浜
2025523,マツダ
2025525,マツダ
2025527,倉　敷
2025528,甲子園
2025529,甲子園
2025530,横　浜
2025531,横　浜
202561,横　浜
202563,楽天モバイル
202564,楽天モバイル
202565,郡　山
202566,横　浜
202567,横　浜
202568,横　浜
2025610,京セラD大阪
2025611,京セラD大阪
2025612,京セラD大阪
2025613,みずほPayPay
2025614,みずほPayPay
2025615,みずほPayPay
2025617,横　浜
2025618,横　浜
2025619,横　浜
2025620,横　浜
2025621,横　浜
2025622,横　浜
2025627,東京ドーム
2025628,東京ドーム
2025629,東京ドーム
202571,横　浜
202572,横　浜
202573,横　浜
202574,横　浜
202575,横　浜
202576,横　浜
202578,神　宮
202579,神　宮
2025711,横　浜
2025712,横　浜
2025713,横　浜
2025715,マツダ
2025716,マツダ
2025717,マツダ
2025719,バンテリンドーム
2025720,バンテリンドーム
2025721,バンテリンドーム
2025726,甲子園
2025727,甲子園
2025729,横　浜
2025730,横　浜
2025731,横　浜
202581,東京ドーム
202582,東京ドーム
202583,東京ドーム
202585,横　浜
202586,横　浜
202587,横　浜
202588,横　浜
202589,横　浜
2025811,神　宮
2025812,神　宮
2025813,神　宮
2025815,バンテリンドーム
2025816,バンテリンドーム
2025817,バンテリンドーム
2025819,横　浜
2025820,横　浜
2025821,横　浜
2025822,東京ドーム
2025823,東京ドーム
2025824,東京ドーム
2025826,横　浜
2025827,横　浜
2025828,横　浜
2025829,横　浜
2025830,横　浜
2025831,横　浜
202592,マツダ
202593,マツダ
202594,マツダ
202595,横　浜
202596,横　浜
202597,横　浜
202599,甲子園
2025910,甲子園
2025911,甲子園
2025912,神　宮
2025913,神　宮
2025914,横　浜
2025915,横　浜
2025917,バンテリンドーム
2025918,バンテリンドーム
2025919,甲子園
2025920,甲子園
2025921,横　浜
2025923,横　浜
2025926,横　浜
2025927,横　浜
2025928,マツダ
2025930,横　浜
2025101,横　浜
20251011,横　浜
20251012,横　浜
20251015,甲子園
20251016,甲子園
20251017,甲子園
