matchID,球場
2025328,マツダ
2025329,マツダ
2025330,マツダ
202541,京セラD大阪
202542,京セラD大阪
202543,京セラD大阪
202544,東京ドーム
202545,東京ドーム
202546,東京ドーム
202548,甲子園
202549,甲子園
2025411,甲子園
2025412,甲子園
2025415,松　山
2025417,神　宮
2025418,甲子園
2025419,甲子園
2025420,甲子園
2025422,横　浜
2025423,横　浜
2025424,横　浜
2025425,甲子園
2025426,甲子園
2025427,甲子園
2025429,バンテリンドーム
2025430,バンテリンドーム
202551,バンテリンドーム
202552,甲子園
202553,甲子園
202554,甲子園
202555,東京ドーム
202556,東京ドーム
202557,東京ドーム
2025510,甲子園
2025511,甲子園
2025513,ハードオフ新潟
2025515,横　浜
2025516,甲子園
2025517,甲子園
2025518,甲子園
2025520,甲子園
2025521,甲子園
2025522,甲子園
2025523,バンテリンドーム
2025524,バンテリンドーム
2025525,バンテリンドーム
2025527,倉　敷
2025528,甲子園
2025529,甲子園
2025530,マツダ
2025531,マツダ
202561,マツダ
202563,エスコンＦ
202564,エスコンＦ
202565,エスコンＦ
202566,甲子園
202567,甲子園
202568,甲子園
2025610,ベルーナドーム
2025611,ベルーナドーム
2025612,ベルーナドーム
2025613,楽天モバイル
2025614,楽天モバイル
2025615,楽天モバイル
2025617,甲子園
2025618,甲子園
2025619,甲子園
2025620,甲子園
2025621,甲子園
2025622,甲子園
2025627,神　宮
2025628,神　宮
2025629,神　宮
202571,甲子園
202572,甲子園
202573,甲子園
202574,横　浜
202575,横　浜
202576,横　浜
202578,マツダ
202579,マツダ
2025710,マツダ
2025711,甲子園
2025712,甲子園
2025713,甲子園
2025715,甲子園
2025716,甲子園
2025719,東京ドーム
2025720,東京ドーム
2025721,東京ドーム
2025726,甲子園
2025727,甲子園
2025729,甲子園
2025730,甲子園
2025731,甲子園
202581,神　宮
202582,神　宮
202583,神　宮
202585,バンテリンドーム
202586,バンテリンドーム
202587,バンテリンドーム
202588,京セラD大阪
202589,京セラD大阪
2025810,京セラD大阪
2025812,マツダ
2025813,マツダ
2025815,東京ドーム
2025816,東京ドーム
2025817,東京ドーム
2025819,京セラD大阪
2025820,京セラD大阪
2025822,神　宮
2025823,神　宮
2025824,神　宮
2025826,横　浜
2025827,横　浜
2025828,横　浜
2025829,甲子園
2025830,甲子園
2025831,甲子園
202592,バンテリンドーム
202593,バンテリンドーム
202594,バンテリンドーム
202595,甲子園
202596,甲子園
202597,甲子園
202599,甲子園
2025910,甲子園
2025911,甲子園
2025913,東京ドーム
2025914,甲子園
2025915,甲子園
2025917,マツダ
2025918,マツダ
2025919,甲子園
2025920,甲子園
2025921,神　宮
2025922,神　宮
2025923,横　浜
2025926,甲子園
2025927,甲子園
2025928,甲子園
2025102,甲子園
20251015,甲子園
20251016,甲子園
20251017,甲子園
20251025,みずほPayPay
20251026,みずほPayPay
20251028,甲子園
20251029,甲子園
20251030,甲子園
