matchID,球場
2025328,マツダ
2025329,マツダ
2025330,マツダ
202542,神　宮
202543,神　宮
202544,マツダ
202545,マツダ
202546,マツダ
202548,岐　阜
202549,バンテリンドーム
2025410,バンテリンドーム
2025411,マツダ
2025412,マツダ
2025413,マツダ
2025415,マツダ
2025416,マツダ
2025418,甲子園
2025419,甲子園
2025420,甲子園
2025423,マツダ
2025425,横　浜
2025426,横　浜
2025427,横　浜
2025429,東京ドーム
2025430,東京ドーム
202551,東京ドーム
202552,マツダ
202553,マツダ
202554,マツダ
202555,神　宮
202557,神　宮
202559,横　浜
2025510,横　浜
2025511,横　浜
2025513,マツダ
2025514,マツダ
2025515,マツダ
2025516,甲子園
2025517,甲子園
2025518,甲子園
2025520,マツダ
2025522,マツダ
2025523,マツダ
2025525,マツダ
2025527,富　山
2025528,金　沢
2025530,マツダ
2025531,マツダ
202561,マツダ
202563,京セラD大阪
202564,京セラD大阪
202565,京セラD大阪
202566,マツダ
202567,マツダ
202568,マツダ
2025610,ZOZOマリン
2025611,ZOZOマリン
2025612,ZOZOマリン
2025613,エスコンＦ
2025614,エスコンＦ
2025615,エスコンＦ
2025617,マツダ
2025618,マツダ
2025619,マツダ
2025620,マツダ
2025621,マツダ
2025622,マツダ
2025627,バンテリンドーム
2025628,バンテリンドーム
2025629,バンテリンドーム
202571,マツダ
202572,マツダ
202573,マツダ
202574,東京ドーム
202575,東京ドーム
202576,東京ドーム
202578,マツダ
202579,マツダ
2025710,マツダ
2025711,バンテリンドーム
2025712,バンテリンドーム
2025713,バンテリンドーム
2025715,マツダ
2025716,マツダ
2025717,マツダ
2025719,神　宮
2025720,神　宮
2025721,神　宮
2025726,マツダ
2025727,マツダ
2025729,甲子園
2025730,甲子園
2025731,甲子園
202581,マツダ
202582,マツダ
202583,マツダ
202585,横　浜
202586,横　浜
202587,横　浜
202588,バンテリンドーム
202589,バンテリンドーム
2025810,バンテリンドーム
2025812,マツダ
2025813,マツダ
2025815,マツダ
2025816,マツダ
2025817,マツダ
2025819,横　浜
2025820,横　浜
2025821,横　浜
2025822,マツダ
2025823,マツダ
2025824,マツダ
2025826,マツダ
2025827,マツダ
2025828,マツダ
2025829,神　宮
2025830,神　宮
2025831,神　宮
202592,マツダ
202593,マツダ
202594,マツダ
202595,甲子園
202596,甲子園
202597,甲子園
202599,東京ドーム
2025910,東京ドーム
2025911,東京ドーム
2025912,マツダ
2025913,マツダ
2025914,マツダ
2025915,マツダ
2025917,マツダ
2025918,マツダ
2025919,東京ドーム
2025920,東京ドーム
2025921,横　浜
2025923,マツダ
2025926,神　宮
2025927,神　宮
2025928,マツダ
2025103,マツダ
2025104,マツダ
