matchID,球場
2025328,東京ドーム
2025329,東京ドーム
2025330,東京ドーム
202541,バンテリンドーム
202542,バンテリンドーム
202543,バンテリンドーム
202544,東京ドーム
202545,東京ドーム
202546,東京ドーム
202548,横　浜
202549,横　浜
2025411,マツダ
2025412,マツダ
2025413,マツダ
2025415,東京ドーム
2025416,東京ドーム
2025417,東京ドーム
2025418,神　宮
2025419,神　宮
2025420,神　宮
2025422,東京ドーム
2025423,東京ドーム
2025425,甲子園
2025426,甲子園
2025427,甲子園
2025429,東京ドーム
2025430,東京ドーム
202551,東京ドーム
202553,横　浜
202554,横　浜
202555,東京ドーム
202556,東京ドーム
202557,東京ドーム
202559,神　宮
2025510,神　宮
2025511,神　宮
2025513,マツダ
2025514,マツダ
2025515,マツダ
2025516,東京ドーム
2025517,東京ドーム
2025518,東京ドーム
2025520,甲子園
2025521,甲子園
2025522,甲子園
2025523,東京ドーム
2025524,東京ドーム
2025525,東京ドーム
2025527,富　山
2025528,金　沢
2025530,バンテリンドーム
2025531,バンテリンドーム
202561,バンテリンドーム
202564,ZOZOマリン
202565,ZOZOマリン
202566,東京ドーム
202567,東京ドーム
202568,東京ドーム
2025610,みずほPayPay
2025611,みずほPayPay
2025612,みずほPayPay
2025613,京セラD大阪
2025614,京セラD大阪
2025615,京セラD大阪
2025617,東京ドーム
2025618,東京ドーム
2025619,東京ドーム
2025620,東京ドーム
2025621,東京ドーム
2025622,東京ドーム
2025624,ZOZOマリン
2025627,東京ドーム
2025628,東京ドーム
2025629,東京ドーム
202571,甲子園
202572,甲子園
202573,甲子園
202574,東京ドーム
202575,東京ドーム
202576,東京ドーム
202578,山　形
202579,福　島
2025711,横　浜
2025712,横　浜
2025713,横　浜
2025717,神　宮
2025719,東京ドーム
2025720,東京ドーム
2025721,東京ドーム
2025726,マツダ
2025727,マツダ
2025729,バンテリンドーム
2025730,バンテリンドーム
2025731,バンテリンドーム
202581,東京ドーム
202582,東京ドーム
202583,東京ドーム
202585,東京ドーム
202586,東京ドーム
202587,東京ドーム
202588,横　浜
202589,横　浜
2025811,東京ドーム
2025812,東京ドーム
2025813,東京ドーム
2025815,東京ドーム
2025816,東京ドーム
2025817,東京ドーム
2025819,神　宮
2025820,神　宮
2025821,神　宮
2025822,東京ドーム
2025823,東京ドーム
2025824,東京ドーム
2025826,マツダ
2025827,マツダ
2025828,マツダ
2025829,甲子園
2025830,甲子園
2025831,甲子園
202592,京セラD大阪
202593,京セラD大阪
202594,岐　阜
202595,バンテリンドーム
202596,バンテリンドーム
202597,バンテリンドーム
202599,東京ドーム
2025910,東京ドーム
2025911,東京ドーム
2025913,東京ドーム
2025914,横　浜
2025915,横　浜
2025917,神　宮
2025918,神　宮
2025919,東京ドーム
2025920,東京ドーム
2025921,バンテリンドーム
2025923,マツダ
2025926,横　浜
2025927,横　浜
2025928,神　宮
2025930,東京ドーム
2025101,東京ドーム
20251011,横　浜
20251012,横　浜
