matchID,開始時間,終了時間
2025328,18,21
2025329,14,17
2025330,14,16
202541,18,21
202542,18,22
202543,18,20
202544,18,21
202545,14,17
202546,13,16
202548,18,22
202549,18,21
2025412,14,16
2025415,18,20
2025416,18,20
2025417,18,21
2025419,14,16
2025420,13,16
2025422,17,20
2025423,17,21
2025424,17,21
2025425,18,20
2025426,14,16
2025427,14,16
2025429,13,17
2025430,18,21
202551,18,21
202553,14,16
202554,14,16
202555,14,16
202556,14,17
202557,18,20
202559,18,21
2025510,14,16
2025511,14,16
2025513,18,22
2025515,18,21
2025516,18,21
2025517,18,21
2025518,18,21
2025520,17,20
2025521,17,20
2025522,17,20
2025523,18,20
2025525,13,16
2025527,18,21
2025528,18,21
2025529,18,20
2025530,18,21
2025531,14,18
202561,14,16
202563,19,22
202564,18,21
202565,18,21
202566,18,20
202567,14,17
202568,14,17
2025610,18,20
2025611,18,20
2025612,18,20
2025613,18,20
2025614,18,20
2025615,14,17
2025617,18,20
2025618,18,21
2025619,18,21
2025620,18,21
2025621,14,16
2025622,14,17
2025627,18,21
2025628,14,17
2025629,14,16
202571,18,21
202572,18,20
202573,18,21
202574,18,21
202575,18,20
202576,18,20
202578,18,20
202579,18,22
2025711,18,21
2025712,18,21
2025713,18,21
2025715,18,20
2025716,18,21
2025717,18,22
2025719,14,17
2025720,13,17
2025721,14,16
2025726,18,20
2025727,18,21
2025729,17,20
2025730,17,20
2025731,17,20
202581,18,21
202582,15,18
202583,14,16
202585,17,21
202586,17,21
202587,17,21
202588,18,21
202589,18,21
2025811,18,21
2025812,18,20
2025813,18,21
2025815,18,22
2025816,14,16
2025817,13,18
2025819,18,21
2025820,18,21
2025821,18,20
2025822,18,21
2025823,14,16
2025824,14,16
2025826,17,21
2025827,17,20
2025828,17,20
2025829,18,21
2025830,18,22
2025831,18,21
202592,18,21
202593,18,21
202594,18,21
202595,18,21
202596,18,21
202597,18,20
202599,18,20
2025910,18,21
2025911,18,20
2025912,18,21
2025913,18,21
2025914,18,21
2025915,18,20
2025917,18,20
2025918,18,21
2025919,18,20
2025920,14,17
2025921,18,21
2025923,14,18
2025926,18,21
2025927,14,18
2025928,18,21
2025930,18,21
2025101,18,21
20251011,14,16
20251012,14,18
20251015,18,21
20251016,18,22
20251017,18,21
