"matchID,氏名,打数,安打,打率,打点"
"2025328,矢澤,4,0,0.0,0"
"2025328,清宮幸,4,1,0.25,1"
"2025328,レイエス,4,2,0.5,1"
"2025328,野村,4,0,0.0,0"
"2025328,田宮,3,2,0.6666666666666666,0"
"2025328,万波,3,0,0.0,0"
"2025328,上川畑,3,1,0.3333333333333333,0"
"2025328,水野,3,0,0.0,0"
"2025328,五十幡,3,0,0.0,0"
"2025329,万波,5,3,0.6,0"
"2025329,清宮幸,5,0,0.0,1"
"2025329,レイエス,4,1,0.25,0"
"2025329,野村,5,1,0.2,0"
"2025329,郡司,4,2,0.5,1"
"2025329,伏見,0,0,0,0"
"2025329,マルティネス,3,1,0.3333333333333333,0"
"2025329,五十幡,0,0,0,0"
"2025329,吉田,1,0,0.0,0"
"2025329,矢澤,1,1,1.0,0"
"2025329,上川畑,5,1,0.2,1"
"2025329,松本剛,3,0,0.0,0"
"2025329,水野,4,0,0.0,0"
"2025330,矢澤,4,0,0.0,0"
"2025330,松本剛,0,0,0,0"
"2025330,清宮幸,5,1,0.2,0"
"2025330,レイエス,3,3,1.0,0"
"2025330,奈良間,0,0,0,0"
"2025330,野村,4,3,0.75,6"
"2025330,万波,4,0,0.0,0"
"2025330,石井,4,1,0.25,1"
"2025330,吉田,3,0,0.0,0"
"2025330,今川,1,0,0.0,0"
"2025330,五十幡,0,0,0,0"
"2025330,田宮,4,1,0.25,0"
"2025330,上川畑,4,0,0.0,0"
"202541,万波,3,0,0.0,0"
"202541,清宮幸,4,1,0.25,0"
"202541,レイエス,4,0,0.0,0"
"202541,野村,2,1,0.5,1"
"202541,マルティネス,3,0,0.0,0"
"202541,今川,3,0,0.0,0"
"202541,上川畑,3,0,0.0,0"
"202541,伏見,3,0,0.0,0"
"202541,水野,3,0,0.0,0"
"202542,吉田,4,1,0.25,1"
"202542,伏見,0,0,0,0"
"202542,清宮幸,4,0,0.0,1"
"202542,レイエス,4,1,0.25,1"
"202542,野村,4,2,0.5,0"
"202542,郡司,2,0,0.0,0"
"202542,矢澤,1,0,0.0,0"
"202542,石井,3,0,0.0,0"
"202542,上川畑,1,1,1.0,0"
"202542,万波,4,0,0.0,0"
"202542,今川,2,1,0.5,0"
"202542,五十幡,1,0,0.0,0"
"202542,水野,2,0,0.0,0"
"202544,万波,4,1,0.25,1"
"202544,清宮幸,4,1,0.25,0"
"202544,吉田,4,1,0.25,1"
"202544,野村,2,0,0.0,0"
"202544,今川,2,0,0.0,0"
"202544,レイエス,4,1,0.25,1"
"202544,松本剛,4,1,0.25,0"
"202544,奈良間,3,1,0.3333333333333333,0"
"202544,石井,0,0,0,0"
"202544,伏見,2,0,0.0,0"
"202544,郡司,2,1,0.5,0"
"202544,水野,2,0,0.0,0"
"202544,マルティネス,0,0,0,0"
"202544,矢澤,0,0,0,0"
"202544,上川畑,0,0,0,0"
"202545,田宮,4,1,0.25,0"
"202545,今川,3,1,0.3333333333333333,0"
"202545,五十幡,1,0,0.0,0"
"202545,万波,4,1,0.25,1"
"202545,清宮幸,4,2,0.5,0"
"202545,吉田,4,0,0.0,0"
"202545,マルティネス,3,0,0.0,0"
"202545,郡司,3,0,0.0,0"
"202545,上川畑,3,0,0.0,0"
"202545,水野,3,1,0.3333333333333333,0"
"202546,郡司,4,1,0.25,0"
"202546,矢澤,5,2,0.4,1"
"202546,清宮幸,4,1,0.25,1"
"202546,野村,3,0,0.0,1"
"202546,万波,4,1,0.25,0"
"202546,石井,2,0,0.0,0"
"202546,マルティネス,1,0,0.0,0"
"202546,上川畑,1,0,0.0,0"
"202546,吉田,4,1,0.25,0"
"202546,田宮,3,1,0.3333333333333333,0"
"202546,水野,4,1,0.25,1"
"202548,松本剛,3,0,0.0,0"
"202548,清宮幸,4,2,0.5,2"
"202548,レイエス,4,2,0.5,1"
"202548,野村,4,1,0.25,0"
"202548,上川畑,0,0,0,0"
"202548,今川,2,0,0.0,0"
"202548,矢澤,2,0,0.0,0"
"202548,万波,4,1,0.25,2"
"202548,奈良間,4,2,0.5,0"
"202548,伏見,4,1,0.25,0"
"202548,水野,3,0,0.0,0"
"202549,吉田,4,2,0.5,0"
"202549,水野,2,1,0.5,3"
"202549,レイエス,5,3,0.6,2"
"202549,郡司,5,2,0.4,0"
"202549,野村,3,0,0.0,0"
"202549,五十幡,1,1,1.0,0"
"202549,清宮幸,3,1,0.3333333333333333,2"
"202549,マルティネス,1,0,0.0,0"
"202549,万波,4,1,0.25,1"
"202549,松本剛,5,1,0.2,0"
"202549,上川畑,4,1,0.25,0"
"202549,奈良間,5,4,0.8,0"
"2025410,郡司,4,2,0.5,0"
"2025410,五十幡,1,0,0.0,0"
"2025410,レイエス,4,2,0.5,1"
"2025410,伏見,1,1,1.0,1"
